"","Table 7.5: Monthly Average Retail Prices of Fish at Colombo Suburb Markets - 2015","","","","","","","","","","","","",""
"","2014","","","","","","2015","","","","","","","2015"
"Item","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","227.00","230.00","240.00","242.50","250.00","247.50","245.00","245.50","214.58","198.08","187.50","201.00","174.17","223.00"
"Hurulla","336.08","328.71","330.21","316.46","337.92","437.50","415.00","375.25","377.00","345.42","255.00","347.50","355.63","352.00"
"Balaya","557.00","564.00","475.00","448.00","338.00","407.00","566.00","559.00","489.00","438.00","493.00","456.00","445.00","473.00"
"Kelawalla","768.00","700.00","731.00","701.00","756.00","836.00","793.00","838.00","825.00","800.00","760.00","793.00","757.00","774.00"
"Thora","1203.00","1130.00","1236.00","1124.00","1099.00","1240.00","1404.00","1483.00","1498.00","1296.00","1210.00","1389.00","1311.00","1285.00"
"Paraw","805.00","689.00","725.00","770.00","769.00","862.00","847.00","917.00","859.00","830.00","705.00","833.00","797.00","800.00"
"Mora","620.00","585.00","758.00","613.00","670.00","680.00","715.00","711.00","672.00","660.00","613.00","556.00","657.00","658.00"
"Thalapath","881.17","891.92","877.25","845.38","858.50","857.75","869.33","882.00","837.80","856.50","848.67","851.83","851.67","861.00"
"Kumbala","426.21","389.58","388.63","370.50","405.00","468.13","542.58","498.54","472.62","424.67","364.17","389.75","387.38","425.00"
"Mullet","663.00","637.00","625.00","637.00","657.00","695.00","744.00","708.00","649.00","774.00","523.00","481.00","504.00","636.00"
"Prawns","972.00","872.92","956.33","873.33","893.75","982.00","886.88","862.83","842.14","886.50","872.92","831.92","779.58","878.00"
"Tilapiya(M)","325.83","340.00","na","350.00","na","na","na","na","na","na","na","na","na","345.00"
"Source  : Statistics Unit of the Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","","","",""
