"","Table 1.5: Active Fishers by District (Marine Fisheries)","","","","","","","","","","",""
"","Fisheries District","1989","1996","1999","2004","2008","2011","2012","2013","2014","2015","2016"
"1","Negombo","7,419","10,146","14,573","16,800","11,500","9,510","9,870","9,930","10,020","11,410","10,570"
"2","Colombo","1,610","2,235","2,653","2,800","1,730","1,820","1,610","1,910","1,930","2,400","2,340"
"3","Kalutara","3,157","4,150","4,322","4,200","4,810","5,950","6,060","6,210","6,270","6,120","4,820"
"4","Galle","3,590","5,134","6,304","6,300","5,880","10,260","10,480","10,620","10,710","12,890","12,420"
"5","Matara","4,426","5,120","5,276","7,100","7,710","11,090","11,260","11,720","11,820","13,180","15,570"
"6","Tangalle","3,354","4,843","7,001","6,100","6,580","10,580","10,730","11,060","11,160","14,990","12,010"
"7","Kalmunai","9,022","13,224","14,592","15,500","20,600","26,040","26,460","25,960","26,190","20,400","22,290"
"8","Batticaloa","12,843","13,533","15,137","21,600","23,540","29,980","30,280","29,330","29,590","29,620","31,820"
"9","Trincomalee","6,502","7,557","10,748","16,100","22,460","34,620","35,040","34,240","34,540","33,950","32,960"
"10","Mullativu","3,183","","1,950","3,300","2,090","1,480","2,180","3,120","3,150","3,460","5,250"
"11","Kilinochchi","1,103","35,000","1,400","3,700","2,180","3,720","3,890","4,920","4,960","3,900","4,190"
"12","Jaffna","24,839","","9,614","16,800","18,240","22,720","23,420","24,220","24,440","23,480","22,690"
"13","Mannar","5,684","","4,593","9,400","10,540","18,530","18,960","18,220","18,380","17,540","18,570"
"14","Puttalam","4,539","9,795","13,161","12,100","14,410","16,810","16,450","15,720","15,860","15,880","12,530"
"15","Chilaw","7,173","8,039","9,090","10,000","10,200","12,320","11,860","12,220","12,330","12,340","10,800"
"","Total","98,444","118,776","120,414","151,800","162,470","215,430","218,550","219,400","221,350","221,560","218,830"
"Source: Statistics Unit - Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","",""
