"","Table 2.4.1 :  Production of Fishing Boats  - Cey-Nor 2010 - 2016","","","","","",""
"Boat Type","2010","2011","2012","2013","2014","2015","2016"
"Production of Boats","","","","","","",""
"Multiday boats","1","1","1","1","1","-","-"
"Single day boats","9","-","-","-","-","-","7"
"OFRP boats","8","2","54","81","26","2","-"
"Oru / Outtriggers / Oars","382","562","513","694","623","711","2,384"
"Wallam/ Theppam","32","58","-","-","1","-","-"
"Leisure Boats / Ferries","4","2","1","8","-","1","-"
"Paddle Boats","-","8","7","5","-","-","12"
"Passenger boats","1","1","1","3","1","1","2"
"Ferries/ Theppam/ Piers","-","-","-","53","50","12","106"
"Total Boats","437","634","577","845","702","727","2,511"
"Other Products","","","","","","",""
"Floating  Restaurent / House","-","-","-","1","1","-","-"
