"","","","","Registered Boats","","","",""
"Harbour","District","","","Single day boats (IDAY)","","","",""
"","","Multi-day boats","","","","","",""
"","","","","","","","","Total"
"","","(IMUL)","Single","OBM *","Wallam","Total","",""
"1.   Kalpitiya","Puttalam","108","4","","","","4","112"
"2.   Negombo","Gampaha","85","","","","","","85"
"3.   Dikkowita","Gampaha","200","","","","","","200"
"4.   Panadura","Colombo","2","10","2","","","12","14"
"5.   Beruwala","Kalutara","512","24","","","","24","536"
"6.   Ambalangoda","Galle","74","17","","","","17","91"
"7.   Hikkaduwa","Galle","178","15","141","12","","168","346"
"8.   Galle","Galle","405","20","","","","20","425"
"9.   Mirissa","Matara","282","54","","","","54","336"
"10. Puranawella","Matara","644","15","39","","","54","698"
"11  Kudawella","Hambantota","445","35","","","","35","480"
"12. Tangalle","Hambantota","314","44","","","","44","358"
"13. Hambantota","Hambantota","34","21","","","","21","55"
"14. Kirinda","Hambantota","34","","","","","","34"
"15. Valaichchanai","Batticaloa","420","","32","","","32","452"
"16. Cod-bay","Trincomalee","157","","","","","","157"
"17. Nilwella","Matara","110","3","","","","3","113"
"18. Suduwella","Matara","16","4","","","","4","20"
"","Total","4,020","266","214","12","","492","4,512"
