"","Table 4.3:  National Fish Production** by Administrative Districts (Mt)","","","","","","","",""
"District","2000","2005","2010","2011","2012","2013","2014","2015","2016"
"1  Colombo","3,240","720","2,110","3,490","3,240","5,404","7,714","7,342","7,215"
"2  Gampaha","35,140","17,630","28,440","35,740","36,510","41,405","38,348","36,569","31,475"
"3  Kalutara","33,730","11,740","43,460","51,970","53,020","48,590","40,544","32,782","46,710"
"4  Kandy","170","310","320","380","920","918","760","687","785"
"5  Matale","290","330","720","820","2,130","1,700","935","836","1,285"
"6  Nuwara eliya","30","80","90","160","980","425","314","174","80"
"7  Galle","27,860","11,240","21,890","25,390","27,650","49,785","52,000","55,736","57,545"
"8  Matara","35,510","17,100","39,010","46,640","48,760","49,112","42,570","35,416","30,955"
"9  Hambantota","34,980","7,680","23,450","30,310","31,840","49,860","65,330","70,310","66,995"
"10  Jaffna","6,650","12,970","20,970","25,750","32,400","21,380","25,890","29,290","32,260"
"11  Mannar","1,430","8,380","11,010","13,150","13,810","11,970","23,410","20,735","19,695"
"12  Vavunia","-","290","490","540","830","1,519","1,283","1,499","2,775"
"13  Mullaitivu","770","780","1,370","3,300","7,580","9,035","9,465","10,486","11,785"
"14  Kilinochchi","-","1,460","570","5,780","7,530","15,275","16,240","14,290","15,360"
"15  Batticaloa","13,450","10,110","41,250","35,870","36,370","38,010","33,232","30,127","30,500"
"16  Ampara","10,500","10,210","22,520","27,040","30,350","28,205","27,120","20,950","29,875"
"17  Trincomalee","17,500","8,030","38,090","36,080","38,080","29,580","27,560","31,487","30,035"
"18  Kurunegala","2,180","2,140","4,390","4,960","5,180","4,760","2,080","2,624","5,685"
"19  Puttalam","61,880","28,240","57,670","67,250","73,910","79,470","81,420","88,241","86,260"
"20  Anuradhapura","6,690","5,640","11,920","12,910","14,340","9,650","16,320","11,936","12,990"
"21  Polonnaruwa","4,870","4,730","7,950","9,830","12,870","7,510","7,540","7,156","3,525"
"22  Badulla","660","820","1,240","1,320","1,650","1,006","800","877","470"
"23  Monaragala","2,750","1,870","2,950","3,160","3,670","6,500","10,190","7,762","4,195"
"24  Ratnapura","100","730","2,770","2,970","2,530","1,759","3,970","2,862","2,450"
"25  Kegalle","10","-","20","20","20","12","15","16","15"
"Total","300,390","163,230","384,670","444,830","486,170","512,840","535,050","520,190","530,920"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
