"","Villus","Hectares","","","","5,000"
"","3.  Annual Fish Production","","2018","2019","2020","2021"
"3.1","Marine Sector","Mt.","439,370","415,490","326,930","331,675"
"","Coastal Waters","Mt.","249,020","242,580","182,560","178,260"
"","Offshore/Deep Sea Waters","Mt.","190,350","172,910","144,370","153,415"
"3.2","Inland and Aquaculture Sector","Mt.","87,690","90,340","101,810","104,235"
"","Inland Capture Fisheries","Mt.","71,020","73,230","84,310","80,720"
"","Aquaculture Fisheries","Mt.","8,490","10,710","10,140","9,105"
"","Shrimp Farms","Mt.","8,180","6,400","7,360","14,410"
"3.3","Total Production","Mt.","527,060","505,830","428,740","435,910"
"","4. Fishing Fleet (Operting Boats)","","2018","2019","2020","2021"
"4.1","Multy-day Boats (Offshore Vessels) -IMUL","Numbers","4,581","4,885","5,155","5,364"
"","Multy-day Boats  - High seas IMUL","Numbers","1,281","1,189","927","1,194"
"","Multy-day Boats  - Other IMUL","Numbers","3,300","3,696","4,228","4,170"
"4.2","Inboard Single Day Boats - IDAY","Numbers","918","948","895","860"
"4.3","Outboard Motor FRP Boats - OFRP","Numbers","24,132","23,404","24,074","24,389"
"4.4","Motorized Traditional Boats - MTRB","Numbers","2,206","2,140","2,310","2,398"
"4.5","Non-motorized Traditional Boats - NTRB","Numbers","17,434","16,312","16,006","15,695"
"4.6","Non-motorized Traditional Beach-seine Boats - NBSB","Numbers","1,320","1,287","1,056","1,070"
"","Total Marine Fishing Fleet","Numbers","50,591","48,976","49,496","49,776"
"4.7","Inland Fishing Fleet","Numbers","9,795","9,870","9,880","9,940"
"","5. Infrastructure Facilities (Marine sector)**","","2018","2019","2020","2021"
"5.1","Major Fishery Harbours(3)","Numbers","22","22","23","23"
"5.2","Functioning Major Fishery Harbours(4)","Numbers","21","21","21","21"
"5.3","Proposed Fishery Harbours for upgrading (5)","Numbers","12","8","14","8"
"5.4","Ongoing Fishery Harbours(6)","Numbers","3","3","3","3"
"5.5","Proposed New Fishery Harbours (7)","Numbers","4","4","4","4"
"5.4","Anchorages","Numbers","na","na","17","17"
"5.5","Minor Fish Landing Centers","Numbers","na","883","931","927"
"5.6","Active Ice Plants","Numbers","94","104","104","na"
"5.7","Ice Production Capacity","Mt/day","3,309.5","3,581.0","3,581.0","na"
"5.8","Boat Manufacturing Yards (Registered)","Numbers","72","72","65","65"
"5.9","Fishing Gear Factories","Numbers","10","10","38","38"
"","6. Social Information","","2018","2019","2020","2021"
"6.1","Fisheries Inspector Divisions (Marine)","Numbers","147","145","145","148"
"6.2","Marine Fishing Households","Numbers","181,880","185,390","185,570","185,810"
"6.3","Inland Fishing Households","Numbers","56,250","64,290","81,070","81,410"
"","","iii","","","",""
