"Table 5.4:  Production of Fish Fingerlings (Mn)","","","","","","","","",""
"Source of Production","2010","2011","2015","2016","2017","2018","2019","2020","2021"
"Aquaculture Centres","","","","","","","","",""
"Iginiyagala","6.49","8.44","10.34","10.40","11.04","9.86","3.67","4.95","7.36"
"Dambulla","2.29","3.98","13.36","7.50","6.60","9.30","6.54","9.01","7.79"
"Udawalawe","4.50","7.13","12.28","13.41","10.89","15.55","7.80","6.22","7.63"
"Carp centre","3.36","2.50","4.08","5.96","4.70","6.50","3.35","2.40","4.21"
"Thilapia centre","1.14","4.63","8.20","7.45","6.19","8.91","3.18","1.96","2.35"
"Udawalawe (Carp)-New","","","","","","0.14","1.27","1.86","1.07"
"Nuwara - Eliya","0.20","0.15","0.24","0.33","0.16","0.18","0.22","0.17","0.37"
"Kalawewa","0.26","0.55","1.84","3.93","5.22","7.01","3.44","3.78","4.26"
"Polonnaruwa","-","0.10","1.35","-","-","-","-","",""
"Iranamadu","-","-","0.38","0.64","0.94","2.01","3.92","3.76","4.51"
"Muruthawela","-","-","-","1.42","3.21","4.29","2.51","2.64","3.15"
"Sewanapitiya","","","","","","","1.08","5.81","7.06"
"Sub-Total","13.74","20.35","39.79","37.63","38.06","48.20","29.18","36.34","42.14"
"Other","","","","","","","","",""
"Community based Mini -","","","","","","","","",""
"","8.03","8.47","7.24","10.34","13.39","16.74","15.03","12.07","17.23"
"Hatcheries","","","","","","","","",""
"Water bassed Mini- Hatcheries","","","","","","0.46","0.04","0.42","0.22"
"Private  Ponds","11.70","14.89","5.84","4.00","3.30","7.12","14.26","15.14","26.75"
"Pens & Cages","1.40","1.11","2.40","18.12","28.16","38.79","30.09","31.91","25.24"
"Sub-Total","21.13","24.47","15.48","32.46","44.85","63.11","59.42","59.54","69.45"
"Total","34.87","44.82","55.27","70.09","82.91","111.31","88.60","95.88","111.59"
