"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt), 2019 - 2021","","","","","","","",""
"","","2019","","","2020","","","2021",""
"District","","","","","","","","",""
"","Marine","Inland","Total","Marine","Inland","Total","Marine","Inland","Total"
"1 Colombo","3,270","150","3,420","1,460","360","1,820","1,580","915","2,495"
"2 Gampaha","27,550","990","28,540","24,030","1,710","25,740","24,930","1,690","26,620"
"3 Kalutara","44,380","2,110","46,490","42,300","2,660","44,960","42,260","1,140","43,400"
"4 Kandy","-","1,080","1,080","-","940","940","-","1,335","1,335"
"5 Matale","-","1,460","1,460","-","1,550","1,550","-","1,360","1,360"
"6 Nuwara eliya","-","590","590","-","540","540","-","510","510"
"7 Galle","52,950","740","53,690","40,460","720","41,180","45,305","330","45,635"
"8 Matara","23,260","840","24,100","24,260","1,040","25,300","23,630","1,255","24,885"
"9 Hambantota","57,500","7,980","65,480","46,100","5,870","51,970","41,205","5,395","46,600"
"10  Jaffna","44,250","140","44,390","32,450","200","32,650","25,090","270","25,360"
"11  Mannar","25,270","1,315","26,585","19,320","1,000","20,320","16,880","1,155","18,035"
"12  Vavunia","-","490","490","-","700","700","-","345","345"
"13  Mullaitivu","5,120","1,140","6,260","7,830","840","8,670","13,695","805","14,500"
"14  Kilinochchi","11,670","925","12,595","6,910","720","7,630","5,365","695","6,060"
"15  Batticaloa","18,300","2,790","21,090","12,600","1,830","14,430","11,710","3,910","15,620"
"16  Ampara","12,580","12,480","25,060","8,910","19,060","27,970","8,780","14,230","23,010"
"17  Trincomalee","28,800","4,850","33,650","20,810","4,380","25,190","25,220","9,460","34,680"
"18  Kurunegala","-","4,410","4,410","-","6,450","6,450","-","6,035","6,035"
"19  Puttalam","60,590","6,810","67,400","39,490","8,390","47,880","46,025","14,800","60,825"
"20  Anuradhapura","-","17,840","17,840","-","21,850","21,850","-","19,325","19,325"
"21  Polonnaruwa","-","9,960","9,960","-","9,510","9,510","-","8,685","8,685"
"22  Badulla","-","2,120","2,120","-","2,680","2,680","-","1,775","1,775"
"23  Monaragala","-","7,550","7,550","-","7,440","7,440","-","7,435","7,435"
"24  Ratnapura","-","1,550","1,550","-","1,330","1,330","-","1,325","1,325"
"25  Kegalle","-","30","30","-","40","40","-","55","55"
"Total","415,490","90,340","505,830","326,930","101,810","428,740","331,675","104,235","435,910"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
