"","Table 1.9 : Fisher Community Organizations  - 2021","","","","","",""
"","","No. of fisheries Organizations","","","","No. of Members",""
"District","","","","","","",""
"","Coastal","Inland","","Total","Coastal","Inland","Total"
"1  Colombo","","","","23","","","1,572"
"","20","","3","","1,422","150",""
"2  Gampaha","72","","17","89","6,106","738","6,844"
"3  Kalutara","41","","13","54","4,007","658","4,665"
"4  Kandy","-","","3","3","-","160","160"
"5  Matale","-","","14","14","-","1,060","1,060"
"6  Nuwara Eliya","-","","8","8","-","265","265"
"7  Galle","47","","5","52","3,244","136","3,380"
"8  Matara","85","","11","96","5,672","192","5,864"
"9  Hambantota","46","","60","106","4,806","2,188","6,994"
"10  Jaffna","92","","-","92","9,580","-","9,580"
"11  Mannar","71","","14","85","6,719","692","7,411"
"12 Vavuniya","-","","18","18","-","636","636"
"13  Mullaitivu","36","","12","48","3,452","724","4,176"
"14  Kilinochchi","","","","31","","","1,996"
"","24","","7","","1,645","351",""
"15  Batticaloa","147","","23","170","13,757","1,501","15,258"
"16  Ampara","74","","31","105","8,456","1,767","10,223"
"17  Trincomalee","76","","22","98","5,291","507","5,798"
"18  Kurunegala","-","","28","28","-","876","876"
"19  Puttalam","194","","29","223","10,776","1,013","11,789"
"20  Anuradhapura","-","","36","36","-","2,850","2,850"
"21  Polonnaruwa","-","","35","35","-","3,700","3,700"
"22  Badulla","-","","14","14","-","446","446"
"23  Monaragala","-","","44","44","-","409","409"
"24  Ratnapura","-","","12","12","-","725","725"
"25  Kegalle","-","","4","4","-","140","140"
"Total","1,025","","463","1,488","84,933","21,884","106,817"
"Source: National Fisheries Federation","","","","","","",""
