"","Table 1.2:  Information of Perennial Tanks by Districts 2020-2021","","","","","","","","","","","","",""
"","","","","","2020","","","","","","2021","","",""
"","District","","Tanks","","","","Landing","","Tanks","","","","","Landing"
"","","","","","","Area (Ha)","","","","","","","Area (Ha)",""
"","","Major Medium Minor","","","Total","","Sites","Major Medium Minor","","","","Total","","Sites"
"1","Colombo","-","-","13","13","130","6","-","-","13","","13","130","6"
"2","Gampaha","-","-","50","50","120","36","-","-","50","","50","120","40"
"3","Kalutara","1","-","24","25","1,410","22","1","-","24","","25","1,410","22"
"4","Kandy","1","-","59","60","2,850","51","1","-","59","","60","2,850","55"
"5","Matale","2","5","59","66","7,400","47","2","5","59","","66","7,400","52"
"6","Nuwara Eliya","1","3","44","48","4,300","39","1","3","44","","48","4,300","35"
"7","Galle","-","-","7","7","25","5","-","-","7","","7","25","5"
"8","Matara","-","-","35","35","970","35","-","-","35","","35","970","35"
"9","Hambantota","2","6","85","93","9,685","79","2","6","85","","93","9,685","79"
"10","Jaffna","-","-","-","-","-","-","-","-","-","","-","-","-"
"11","Mannar","1","3","39","43","6,360","11","1","3","39","","43","6,360","11"
"12","Vavunia","1","4","32","37","4,350","24","1","4","32","","37","4,350","24"
"13","Mulathivu","2","5","36","43","10,600","34","2","5","36","","43","10,600","34"
"14","Killinochchi","2","2","22","26","5,600","10","2","2","22","","26","5,600","10"
"15","Batticaloa","2","5","53","60","5,620","21","2","5","53","","60","5,620","21"
"16","Ampara","7","13","120","140","28,000","92","7","13","120","","140","28,000","95"
"17","Trincomalee","2","4","94","100","14,100","61","2","4","94","","100","14,100","61"
"18","Kurunegala","2","9","43","54","9,200","66","2","9","43","","54","9,200","65"
"19","Puttalam","-","5","42","47","4,900","41","-","5","42","","47","4,900","45"
"20","Anuradhapura","11","12","101","124","29,200","175","11","12","101","","124","29,200","185"
"21","Polonnaruwa","5","3","117","125","19,900","101","5","3","117","","125","19,900","105"
"22","Badulla","1","6","44","51","5,700","44","1","6","44","","51","5,700","44"
"23","Monaragala","2","6","86","94","7,810","84","2","6","86","","94","7,810","84"
"24","Ratnapura","1","2","41","44","5,300","21","1","2","41","","44","5,300","21"
"25","Kegalle","-","-","19","19","30","19","-","-","19","","19","30","20"
"Total","","46","93","1,265","1,404","183,560","1,124","46","93","1,265","","1,404","183,560","1,154"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","",""
