"Table 1.7: Fishing Households and Active Fishers - Marine Fisheries - 2021","","","","","","",""
"","","","","Active Fishers","","",""
"","","Number of FI","","","Fishing Household","","Average Fishers per"
"","Fisheries District","","Fishing Households","(Fishermen &","","",""
"","","Divisions","","","Population","Household",""
"","","","","women)","","",""
"1","Negombo","13","10,500","11,920","46,500","","4.4"
"2","Colombo","8","2,040","2,370","9,150","","4.5"
"3","Kalutara","9","4,080","4,300","16,220","","4.0"
"4","Galle","9","8,380","10,380","38,630","","4.6"
"5","Matara","9","12,270","15,230","52,450","","4.3"
"6","Tangalle","12","8,610","12,920","35,290","","4.1"
"7","Kalmunai","12","14,340","15,820","76,150","","5.3"
"8","Batticaloa","15","27,110","39,990","121,010","","4.5"
"9","Trincomalee","11","28,850","29,170","103,860","","3.6"
"10","Mullaitivu","4","6,100","8,440","26,270","","4.3"
"11","Kilinochchi","4","4,150","4,250","14,110","","3.4"
"12","Jaffna","17","23,380","24,670","105,680","","4.5"
"13","Mannar","6","17,620","19,520","74,050","","4.2"
"14","Puttalam","8","10,070","15,240","45,320","","4.5"
"15","Chilaw","11","8,310","9,970","39,130","","4.7"
"","Total","148","185,810","224,190","803,820","","4.3"
