"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2021","","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya",""
"January","548.75","1,031.25","1,125.00","1,025.00","465.83","1,070.83","na","na","","na"
"February","525.00","1,087.50","1,125.00","1,100.00","477.50","1,087.50","na","na","","na"
"March","557.50","1,200.00","na","1,180.00","530.00","1,083.33","na","na","","na"
"April","591.25","1,016.67","1,100.00","1,250.00","462.50","1,093.75","na","na","","na"
"May","651.25","1,072.50","na","1,203.33","na","1,116.25","na","na","","na"
"June","642.92","1,145.00","1,316.67","1,235.42","746.25","1,120.00","na","na","","na"
"July","705.00","1,164.17","1,187.50","1,285.00","751.25","1,155.00","na","na","","na"
"August","715.63","1,146.88","1,233.33","1,282.71","715.00","1,210.00","na","na","","na"
"September","695.00","1,119.38","1,350.00","1,266.25","na","1,255.00","na","na","","na"
"October","633.13","1,109.38","1,373.75","1,278.75","na","1,225.83","na","na","","na"
"November","632.50","1,077.50","1,551.25","1,322.08","na","1,265.00","na","na","","na"
"December","645.63","1,106.25","1,621.25","1,325.83","na","1,274.17","na","na","","na"
"Average","629.00","1,106.00","1,298.00","1,230.00","593.00","1,163.00","na","na","","na"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","",""
