--- 01-2019_January.csv ---

Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Item,2014,2015,2016,2017,2018,2018 Jan,2019 Jan,  Change %  2019/2018,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,8944.211190000002,712.5485,834.7923000000001,17.15585675922412,10.120303673738672
Dried Sprats,24873.618,24607.422700000003,24456.9713,22797.82765,23231.925769999998,1610.018,1667.135,3.5476000889431023,20.21091050446718
Maldive fish,1255.6349999999998,2216.39342,2731.68475,2674.2638899999997,2323.14583,188.67,255.283,35.306620024381196,3.094831472143465
Canned Fish,19591.357,49016.10115,37088.75633999999,40613.82522,28068.09578,4925.585480000001,3760.7114000000006,-23.649454155853974,45.59162967517897
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.903230000004,1376.0846999999999,1469.22631,6.768595712168018,17.81163580766918
Live fish,91.073,106.362,128.43604,180.61732,182.56465,17.963,17.7982,-0.9174414073373022,0.2157700650160952
Other,1399.007,1787.1263999999996,1692.15534,1756.9549199999997,3019.2482499999996,183.52125999999998,243.74204,32.81406197843238,2.954918801786454
Total,78711.794,120045.58436999998,115692.89916000002,106020.06460999999,84463.09470000002,9014.39094,8248.68825,-8.494225456789431,100
,,,,,,,,,
Table 3:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,
Item,2014,2015,2016,2017,2018,2018 Jan,2019 Jan,  Change %  2019/2018,Percentage to Total
Dried Fish,2440.7795530000003,2357.2555180599998,3416.1045603400003,3807.79578,3986.416302,282.906157,422.295736,49.27060636577095,12.461295924713772
Dried Sprats,5863.618722999999,7152.593688999999,9036.9923555,9368.691663,9727.73311019,673.5984,708.39301,5.165482875256241,20.90358527467756
