Table 6 - Quantity of Exported Fish and Fishery Products by Countries ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Year/ Month,Total Volume (Mt),Exported Quantity by Countries,,,,,,,,,
,,European Union ,,Other European ,,U. S. A.,,Japan,,Non- European ,
,,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%
2008,20593.669000000016,11536.577000000018,56.02001760832424,527.7889999999996,2.562870171410443,1313,6.375745866363099,2221.303000000001,10.78633923853005,4995,24.255027115372187
2009,18713.97299999999,11017.556999999984,58.873425755182986,388.82499999999993,2.077725558330132,1427.9440000000004,7.630362617280687,2461.033,13.150777763759738,3418.614000000006,18.267708305446458
2010,18325.280000000006,10219.808000000006,55.76890503173759,468,2.553849108990421,1175.7449999999992,6.4159729073716685,2147.7270000000017,11.720022831847594,4314,23.54125012005273
2011,18461.832999999984,7969.69699999999,43.16850336583587,603.7320000000002,3.2701628272772303,1648.9110000000005,8.93145875601844,3239.083999999998,17.544758421333356,5000.408999999998,27.085116629535115
2012,18631.178,6054.113,32.49452611101671,472.59999999999997,2.5366082595528847,3198.6620000000003,17.16832934557332,4355.853,23.37937515276812,4549.95,24.421161131088972
2013,23910.33,7822.6,32.716403328603164,403.7,1.6883915863980126,3884.31,16.2453215827636,4153.17,17.369772813675095,7646.55,31.98011068856013
2014,26320.079999999998,8447.85,32.09659697082988,547.32,2.0794769620761033,4324.36,16.42988927085328,3076.85,11.690124042176164,9923.7,37.70391275406458
2015,17461.13,2064.94,11.825924209945175,673.21,3.8554778528079225,4391.67,25.15112137645158,2288.61,13.106883689658114,8042.7,46.0605928711372
2016,17593.03588400001,2541.5950700000026,14.44659743069959,612.8056000000008,3.483228273053868,4719.211099999997,26.824313501752613,2052.4930099999997,11.66650840442291,7666.93110400001,43.579352390071016
2017,24826.800000000003,5725.2,23.060563584513506,855.8,3.447081379799249,4408,17.755006686322844,2030.1,8.177050606602542,11807.7,47.560297742761854
2018,27998.1,7597,27.13398409177766,848.9,3.031991456563124,4193,14.976016229672728,2184.7,7.8030294912869085,13174.5,47.05497873069959
2019,28770.800000000003,8979.7,31.21115853573762,1034.1,3.5942691895950056,3498.8,12.160940954022829,1732.7,6.022425514758019,13525.5,47.01120580588652
2020,21298.340255000006,6750.232310000006,31.693701148451314,2015.3392400000002,9.462423906608771,1718.5234599999997,8.068813998764803,1461.9841399999996,6.8643101880053,9352.261105000001,43.91075075816981
2021,26749.257730000016,8526.932370000008,31.87726723510844,3108.316749999997,11.62019814297103,2140.6112999999987,8.002507290507896,2141.61856,8.006272852940203,10831.778750000012,40.49375447847242
2022,25729.91779000002,8211.46521000001,31.914074802024473,2981.928370000001,11.589342781184216,2172.54411,8.443649636705652,2046.3772000000001,7.953298633528197,10317.60290000001,40.09963414655746
2023,24503.15367,7492.11207,30.576113470540058,2861.25701,11.67709695059836,2703.5434299999997,11.03345090354649,1492.2399600000003,6.089991435784031,9954.001199999997,40.62334723953106
2024,22556.264409999996,6617.638279999998,29.33836099680656,3108.960769999999,13.783136753006342,3437.9847200000004,15.241817782894135,908.9925100000002,4.029889406674145,8482.68813,37.60679506061882
2025 Jan - Jun,11022.968370000002,3862.8147400000003,35.04332599296027,1344.1186000000007,12.193798937663109,1136.8019699999998,10.313029411332689,311.2689400000001,2.823821402292566,4367.964120000002,39.62602425575137
,,,,,,,,,,,
Table 7 - Value of Exported Fish and Fishery Products by Countries ,,,,,,,,,,,
Year/ Month,Total Value (Rs.Mn),Value of Exports by Countries,,,,,,,,,
,,European Union ,,Other European ,,U. S. A.,,Japan,,Non- European ,
,,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%
2008,19077.283744000015,13829.852680000013,72.49382493642278,463.820437,2.4312708414051656,766.964572,4.020302797253396,1290.646054999999,6.765355447448955,2726,14.289245977469683
2009,21014.972463000006,14853.127467000004,70.6787862470491,428.9821059999998,2.041316526849068,1095.6838119999998,5.213824638262622,1951.179078000002,9.28470918263321,2686,12.781363405205997
2010,19834.013771,12987,65.47842584937973,446.1771470000001,2.2495554966910993,1150.0035589999998,5.798138351005179,1866.8330650000019,9.412280774603287,3384,17.061599528320706
2011,21875.852472000002,11272,51.52713483704279,632.7753409999998,2.892574549082924,1920.6013349999998,8.77954967678756,3429.4757960000015,15.676992704122316,4621,21.123748232964402
2012,26363.092374,10676.860244,40.49927107386617,619.584717,2.3501974207360106,5100.702015,19.347889627813355,5375.506672,20.39027362852725,4590.438725999999,17.412368249057213
2013,31792.05,13376.65,42.075455970910966,610,1.9187186733790367,5623.76,17.689202174757526,4909.37,15.442130972994821,7272.27,22.87449220795765
2014,34797.17,14138.17,40.630229412334394,855.29,2.4579297684265704,6880.78,19.77396437698813,4260.63,12.244185374845138,8662.3,24.89369106740577
2015,24716.07,4773.88,19.31488298908362,1096.09,4.434726070932798,7550.8,30.5501643262865,2712.43,10.974357978432653,8582.87,34.725868635264426
2016,26801.647560600002,5238.913168,19.546981789662475,1091.1512449999996,4.071209587145143,8776.55044699999,32.74630944667012,2756.6271339999985,10.28528984185436,8938.405566600015,33.35020933466791
2017,39229.5,11052.2,28.17318599523318,1457.7,3.715826100256185,10139.9,25.84764016875056,3190,8.131635631348857,13389.699999999999,34.131712104411214
2018,47948.700000000004,16024.2,33.419467055415474,1496.1,3.120209724142677,11239.1,23.43984299887171,3782.7,7.889056429058555,15406.6,32.131423792511576
2019,53483.00000000001,20300.100000000002,37.95617298954808,1897.9,3.5486042293812985,10181.3,19.03651627619991,2876.8,5.3789054465905055,18226.9,34.079801058280204
2020,39873.974728,16118.051258,40.42248451013263,4005.394301,10.045134271972547,5203.31223,13.049394412005208,2595.980746,6.510463939721239,11951.236193,29.972522866168376
2021,63222.485357,24653.618652,38.9950165875128,7147.56317,11.305413144769105,8864.316693,14.020829208066782,4503.156286,7.122713162211062,18053.830556,28.556027897440256
2022,97242.84000499999,37905.585767,38.98033599702661,10447.934742000001,10.744168662148075,12829.748694,13.193515011840795,6606.699634,6.79402168186398,29452.871168,30.287958647120554
2023,99118.04806484599,34157.39163,34.46132394339849,10508.291073846,10.60179379942103,17691.268558,17.848685384145018,4669.937347,4.711490428004381,32091.159456,32.37670644503108
2024,86240.90700704917,30459.804571985,35.31943903314384,10635.98229294318,12.332873878603587,17894.822081,20.74980737335857,3076.226701,3.5670157095501733,24174.071360120997,28.030864005343837
2025 Jan - Jun,39104.15320111515,16020.17197749255,40.967955232529356,4484.588719,11.4683182012291,6901.266465622601,17.648423250924136,1036.561335,2.6507704428961785,10661.564704,27.26453287242123
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,
Note: It has considered the UK formally left the EU on 31 January 2020,,,,,,,,,,,
