Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Jun, 2024  Jan-Jun, 2025  Jan-Jun,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,7513.87035,6198.188749999999,6777.05515,7828.6461100000015,2900.94005,3571.8805,3582.4768499999996,23.49365337625641,0.296660260610604,13.232383523346128
Dried Sprats,24873.618,24607.422700000003,24456.9713,22797.82765,23197.825800000002,24805.64512,31102.3052,25071.350500000004,23723.869,22759.015,27362.816,12928.817,15538.966,12379.334,-4.250064023645771,-20.33360520899524,45.72481612870675
Maldive fish,1255.6349999999998,2216.39342,2731.68475,2674.2638899999997,2317.74345,2520.9943,2545.2419,2187.5960099999998,1537.6745400000002,1714.6443,1943.2035,929.759,682.2800000000001,993.783,6.886085533993218,45.65618221258133,3.670677675134589
Canned Fish,19591.357,49016.10115,37088.75633999999,40613.82522,28068.096079999996,36805.67494,26043.65227,8758.08089,3430.9636000000005,7904.427664999999,4476.0473600000005,1496.209145,3197.27207,52.25358,-96.50760188342518,-98.36568240500095,0.19300596765275646
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.903229999996,18536.1379309999,12801.184029999999,10166.02306,3821.975189999999,5983.1300200000005,11696.515019999999,1367.86156,4350.014230000001,6748.74496,393.3792393434902,55.14305478490352,24.927441362801613
Live fish(2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56475999999999,142.64001,131.58426,135.8647,216.62275000000002,66.31148,97.77095,102.87194,55.134435244093474,5.217285911612802,0.3799720196016484
Other,1399.007,1787.1263999999996,1692.15534,1756.9549199999997,2496.6432999999997,2529.1466,1574.854269,2336.69288,2892.44351,3534.0373200000004,4827.472236999999,1495.16488,3105.5680699999994,3214.0923250000005,114.96574511568252,3.494505757202778,11.871703322756504
Total,78711.79400000001,120045.58436999998,115692.89916000002,106020.06460999999,84463.0947,95636.9350709999,85809.11018900001,56176.253699999994,41736.69885,48808.17415499999,58351.322977,21185.063114999997,30543.751819999998,27073.556655000004,27.79549679901913,-11.361391309916668,100
,,,,,,,,,,,,,,,,,
Table 3:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Jun, 2024  Jan-Jun, 2025  Jan-Jun,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish,2440.7795530000003,2357.2555180599998,3416.1045603400003,3807.79578,4217.654639,5257.2873899999995,6353.206005,4871.0541650000005,3469.980321,3510.759884,5330.572885,1329.3618900000001,2305.428637,2448.825583,84.21060520999286,6.219968976641104,15.37530179181665
Dried Sprats,5863.618722999999,7152.593688999999,9036.9923555,9368.691663,9374.649756190001,9520.754661,10926.718608,9118.893338,9955.459171,9010.941962,14609.979726000001,4304.015457,7913.776691,5595.377302999999,30.00365261002358,-29.295739297731476,35.13137696287539
Maldive fish,646.6040899999999,1658.35257022,1993.8481,1624.212214,1528.0421973400003,1668.372523,1923.729326,1453.3193520000002,925.709063,925.6077819999999,1422.1542459999998,455.96540300000004,469.95602599999995,672.594192,47.50991798384317,43.118537648030944,4.22297886677341
Canned Fish,5092.198891999999,11918.761415999998,9638.225181,9605.574855,8615.929668,13650.557222,10764.337708,4890.95896,2671.9281590000005,6172.603518000001,3317.8472949999996,1141.447436,2187.931272,73.9356,-93.52264522498783,-96.62075308552015,0.464215243033517
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,7410.591563,4658.603794,3401.368626,2107.85096,2744.1597690000003,5185.8619419999995,671.690955,1872.0140420000002,3163.024071,370.9046693951684,68.96369364947313,19.8594991836156
Live fish,117.523067,196.81875526,214.78843461000002,333.62701179,257.407716,287.572027,174.919406,253.00247300000004,430.028657,368.55264800000003,485.76728099999997,184.07356600000003,243.948211,247.284518,34.340048586878545,1.367629213726845,1.552611226821668
Other,342.46071,681.096141,761.6816415100001,624.806307,1410.013024659991,1157.2691980000018,702.803783,1091.4207809999998,2103.214929,4001.1157150000004,6319.552109000001,1042.656575,4379.26616,3725.966971,257.3532321512479,-14.918006011308533,23.394016725063736
Total,18859.940530999997,30728.64099174,35172.2698263,33969.45690936,32726.384586309996,38952.404584,35504.31863,25080.017695,21664.17126,26733.741278,36671.735484000004,9129.211282,19372.321039000002,15927.008238000002,74.46203999466164,-17.78471869253023,100
,,,,,,,,,,,,,,,,,
Table 4:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Jun, 2024  Jan-Jun, 2025  Jan-Jun,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish(2),na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns ,2001.2790000000002,1340.87685,1666.9001240000002,1844.49075,1983.8250300000002,2115.2169400000002,1780.5468,4746.95174,5486.42846,4019.576705,3431.8869700000005,2057.0386700000004,1820.2184400000003,1184.55364,-42.41461488908228,-34.92244590160289,10.746230962830932
Lobsters ,300.581,204.39748,174.99682,224.39643999999998,231.49798,229.16116,99.34371,196.23825999999997,113.91759,126.77627000000001,82.19368,64.32089,43.92712999999999,49.13129000000001,-23.61534487473665,11.847257036824434,0.44571741794810227
