"","Table 2.5:  Production of Fish Nets and Sales Value 2000 - 2017","","","","","","",""
"","","Lunuwila Fish Nets","Weerawila Fish Nets","","Gurunagar factory","","","Total"
"Year","Quantity","Sales Value","Quantity","Sales Value","Quantity","Sales Value","Quantity","Sales Value"
"","(Kg)","(Rs.Mn)","(Kg)","(Rs.Mn)","(Kg)","(Rs.Mn)","(Kg)","(Rs.Mn)"
"2000","191,083","79.10","20,885","6.4","-","-","211,968","85.5"
"2001","149,758","74.10","35,000","14.2","-","-","184,758","88.3"
"2002","175,120","81.90","27,600","12.0","-","-","202,720","93.9"
"2003","192,939","95.90","52,400","25.1","-","-","245,339","121.0"
"2004","198,628","116.80","53,800","27.1","-","-","252,428","143.9"
"2005","233,126","152.60","89,575","55.5","-","-","322,701","208.1"
"2006","274,542","185.00","63,017","47.1","-","-","337,559","232.1"
"2007","239,562","179.40","35,505","35.4","-","-","275,067","214.1"
"2008","112,786","83.40","46,696","40.8","-","-","159,482","124.2"
"2009","64,011","91.30","37,830","35.2","-","-","101,841","116.1"
"2010","88,453","149.80","82,172","72.0","-","-","170,625","221.7"
"2011","94,920","172.80","91,122","69.0","-","-","188,352","246.8"
"2012","77,890","94.20","35,970","42.7","20,950","30.5","134,810","167.4"
"2013","69,660","77.00","41,520","46.0","36,080","21.8","147,260","144.9"
"2014","107,720","193.40","73,390","20.6","99,210","86.1","280,320","300.1"
"2015","70,799","108.92","46,240","9.2","76,790","44.8","193,829","162.9"
"2016","71,830","106.77","30,780","21.1","54,080","57.2","156,700","185.1"
"2017","100,632","113.75","58,694","45.4","87,914","43.7","247,240","202.8"
"Source: CEYNOR Foundation Ltd , North Sea Limited","","","","","","","",""
