"","Table 1.2:  Information of Perennial Tanks by Districts - 2017","","","","","","","","","","","",""
"","","","","2016","","","","","","2017","","",""
"","District","","Tanks","","","","Landing","","Tanks","","","Area","Landing"
"","","","","","","Area (Ha)","","","","","","",""
"","","Major Medium Minor","","","Total","","Sites","Major","Medium Minor","","Total","(Ha)","Sites"
"1","Colombo","-","-","12","12","117","12","-","-","12","12","117","6"
"2","Gampaha","-","-","50","50","94","50","-","-","50","50","122","36"
"3","Kalutara","1","-","24","25","1,402","30","1","-","24","25","1,490","20"
"4","Kandy","1","-","59","60","2,718","24","1","-","59","60","2,918","51"
"5","Matale","1","4","59","64","3,206","13","1","4","59","64","7,156","46"
"6","Nuwara Eliya","1","3","31","35","4,256","12","1","3","31","35","4,256","39"
"7","Galle","-","-","4","4","19","4","-","-","7","7","27","7"
"8","Matara","-","-","22","22","423","21","-","-","34","34","952","34"
"9","Hambantota","3","6","85","94","9,685","96","3","6","85","94","9,685","79"
"10","Jaffna","-","-","-","-","-","-","-","-","-","-","-","-"
"11","Mannar","1","2","39","42","6,360","43","1","3","39","43","5,360","10"
"12","Vavunia","1","3","33","37","3,166","37","1","4","33","38","3,166","24"
"13","Mulathivu","2","5","17","24","5,503","24","2","5","26","33","9,849","33"
"14","Killinochchi","2","2","22","26","5,599","26","2","2","22","26","5,895","10"
"15","Batticaloa","2","5","53","60","5,613","62","2","5","53","60","6,310","22"
"16","Ampara","6","13","120","139","23,024","146","6","13","120","139","25,024","88"
"17","Trincomalee","2","4","94","100","8,709","102","2","4","94","100","10,709","80"
"18","Kurunegala","2","9","38","49","4,995","56","2","9","38","49","9,120","66"
"19","Puttalam","-","4","43","47","4,933","51","-","5","43","48","4,933","39"
"20","Anuradhapura","10","12","100","122","24,592","178","10","12","100","122","26,980","159"
"21","Polonnaruwa","5","3","117","125","19,872","141","5","3","117","125","19,872","92"
"22","Badulla","1","5","44","50","4,951","51","1","5","44","50","5,150","41"
"23","Monaragala","1","6","86","93","5,738","104","1","6","86","93","6,938","80"
"24","Ratnapura","1","2","41","44","4,934","47","1","2","41","44","5,230","12"
"25","Kegalle","-","-","19","19","21","19","-","-","19","19","12","19"
"Total","","43","88","1,212","1,343","149,930","1,349","43","91","1,236","1,370","171,271","1,093"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","",""
