Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change 3rd  week of Nov. 2022, compared to:",, ,,,
Sinhala Name,,Common Name,3rd week of  Nov.,2nd week of  Nov.,3rd week of  Nov.,Last week ,Last Year,,,,
1,තෝරා,Seer (L),1650,1692.86,1675,-0.010550193164230889,0.015151515151515152,,,,
2,පරව් (ලොකු),Trevally (L),887.5,1082.14,1050,-0.02970040844992339,0.18309859154929578,  ,, ,
3,ගල්මාළු (ලොකු),Rock fish (L),850,1128.57,914.29,-0.1898685947703731,0.07563529411764702, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),450,1000,706.25,-0.29375,0.5694444444444444,,,,
5,තලපත්,Sail fish,1362.5,2035.71,1842.86,-0.09473353277234976,0.35255779816513755,,,,
6,බලයා,Skipjack tuna,437,675,575,-0.14814814814814814,0.3157894736842105,,,,
7,කෙළවල්ලා,Yellowfin tuna,875,1128.57,1016.67,-0.09915202424306865,0.16190857142857137, ,,,
8,සාලයා (මට්ට),Sardinella,237,554.29,521.43,-0.05928304678056616,1.2001265822784808,,,,
9,මෝරා,Sharks,,762.5,766.67,0.0054688524590163394,,,,,
10,හුරුල්ලා,Herrings,475,600,512.5,-0.14583333333333334,0.07894736842105263,,,,
11,කුම්බලා,Indian Mackerel,430,567.86,539.29,-0.05031169654492313,0.25416279069767433,,,,
12,කාරල්ලා,Pony fish,206.67,392.86,256,-0.34836837550272365,0.23868969855324923,,,,
13,කටුවල්ලා,Katuwalla,250,366.67,300,-0.18182561976709305,0.2,,, ,
14,හාල්මැස්සා,Anchovy,340,400,339.29,-0.15177499999999994,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",925,1521.43,1533.33,0.007821588899916436,0.657654054054054,,,,
16, කොප්පරා,Marlins,1537.5,2421.43,2164.29,-0.10619344767348216,0.4076682926829268,, ,,
17,අලගොඩුවා,Frigate tuna(L),,650,566.25,-0.12884615384615383,,,,,
18,ඇටවල්ලා,Kawakawa,593.3,730,671.43,-0.08023287671232883,0.13168717343670994,,,,
19,ඇටිස්සා,Red Bream(L),800,1083.33,975,-0.09999723076070997,0.21875,,,,
20,බෝල්ලා,Big eye scade,390,575,571.43,-0.006208695652174,0.4652051282051281,,,,
21,ගින්නටි පරව්,Ginnati Paraw,545,675,650,-0.037037037037037035,0.1926605504587156,, ,,
22,හබරලි,Needle fish,603,766.67,707.14,-0.07764748848918045,0.1727031509121061,,,,
23,හැඩැල්ලා,Indian Anchovies,1000,991.67,1021.43,0.030009983159720463,0.02142999999999995,, ,,
24,ජීලාවා,Barracuda(L),775,841.67,917.86,0.0905224137726188,0.18433548387096776,,, ,
25,ලින්නා,Indian Scad(L),527.5,650,532.14,-0.18132307692307695,0.008796208530805661,,,,
26,ලින්නා,Indian Scad(S),462,534.5,424.17,-0.20641721234798874,-0.08188311688311685,,,,
27,ලේන පරව්,Rainbow Runner,562.5,667.14,566.67,-0.15059807536648984,0.0074133333333332605,,,,
28,සුද්දා,Threadfin  Bream,513.33,640,735.71,0.14954687500000005,0.4332106052636705,,,,
29,සූඩයා,White Sardinella,153,286.67,302.5,0.0552202881361844,0.9771241830065359,,,,
30,දැල්ලා,Squids /Cuttle fish,1250,1625,1650,0.015384615384615385,0.32,,,,
31,කකුළුවා(L),Sea Crabs(L),980,2192.86,2042.86,-0.06840381966929043,1.0845510204081632,,,, 
32,තිලාපියා,Tilapia (M),475,,400,,-0.15789473684210525,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
