"","Table 7.5: Monthly Average Retail Prices of Fish at Colombo Suburb Markets - 2016","","","","","","","","","","","","",""
"","2015","","","","","","2016","","","","","","","2016"
"Item","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","223.00","176.67","157.50","154.25","183.75","229.33","232.50","229.64","218.08","215.74","200.17","191.67","150.00","195.00"
"Hurulla","352.00","383.75","401.67","413.42","381.11","408.33","434.00","411.58","418.75","426.26","355.67","346.00","376.92","396.00"
"Balaya","473.00","410.00","366.67","507.92","425.63","495.00","682.00","548.41","630.83","649.96","556.67","480.00","726.67","540.00"
"Kelawalla","774.00","775.33","788.58","785.17","813.42","832.78","919.00","860.69","819.33","847.76","853.83","840.56","867.00","834.00"
"Thora","1,285.00","1427.75","1291.42","1260.00","1347.58","1548.89","1410.08","1447.55","1410.33","1362.47","1337.08","1216.33","1333.50","1,366.00"
"Paraw","800.00","924.89","811.50","802.67","837.67","849.44","993.88","945.77","924.50","890.30","838.25","849.17","831.33","875.00"
"Mora","658.00","716.88","723.33","702.50","677.50","720.00","745.00","802.56","712.50","710.18","683.33","663.06","687.50","712.00"
"Thalapath","861.00","869.75","864.50","854.38","907.00","939.56","919.08","933.96","901.42","895.47","902.00","860.56","920.00","897.00"
"Kumbala","425.00","413.33","462.50","490.42","551.25","596.67","581.25","473.68","449.67","519.43","481.08","358.22","387.50","480.00"
"Mullet","636.00","583.33","561.67","606.67","648.33","753.33","713.75","607.93","695.00","647.25","565.00","573.33","552.29","626.00"
"Prawns","878.00","734.17","878.00","912.67","1072.00","1061.11","869.67","863.71","851.67","939.00","994.17","891.67","925.00","916.00"
"Tilapiya(M)","345.00","-","-","-","-","-","-","-","480.00","375.00","375.00","375.00","400.00","401.00"
"Source  : Statistics Unit of the Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","","","",""
