"Table 1.8 : Active Fishers in Inland Fisheries and Aquaculture Sector - 2017","","","","","","","","",""
"","","Inland Fisheries","","","Aquaculture","","","Total",""
"District","","","","","","","","",""
"","Male","Female","Total","Male","Female","Total","Male","Female","Total"
"1 Colombo","137","2","139","173","11","184","310","13","323"
"2 Gampaha","250","-","250","858","114","972","1,108","114","1,222"
"3 Kalutara","427","20","447","544","54","598","971","74","1,045"
"4 Kandy","503","-","503","254","4","258","757","4","761"
"5 Matale","1,589","14","1,603","351","22","373","1,940","36","1,976"
"6 Nuwara Eliya","1,580","38","1,618","275","7","282","1,855","45","1,900"
"7 Galle","1,170","115","1,285","220","5","225","1,390","120","1,510"
"8 Matara","272","-","272","26","-","26","298","-","298"
"9 Hambantota","2,009","11","2,020","2,281","82","2,363","4,290","93","4,383"
"10 Jaffna","","","-","341","-","341","341","-","341"
"11 Mannar","2,335","110","2,445","447","22","469","2,782","132","2,914"
"12 Vavuniya","1,668","11","1,679","347","23","370","2,015","34","2,049"
"13 Mullaitivu","865","-","865","23","-","23","888","-","888"
"14 Kilinochchi","698","2","700","696","58","754","1,394","60","1,454"
"15 Batticaloa","1,233","110","1,343","515","10","525","1,748","120","1,868"
"16 Ampara","3,455","2","3,457","610","92","702","4,065","94","4,159"
"17 Trincomalee","3,585","582","4,167","1,816","301","2,117","5,401","883","6,284"
"18 Kurunegala","1,156","2","1,158","1,230","10","1,240","2,386","12","2,398"
"19 Puttalam","2,183","11","2,194","5,271","223","5,494","7,454","234","7,688"
"20 Anuradhapura","4,929","125","5,054","1,428","107","1,535","6,357","232","6,589"
"21 Polonnaruwa","3,191","110","3,301","1,403","195","1,598","4,594","305","4,899"
"22 Badulla","1,197","38","1,235","349","18","367","1,546","56","1,602"
"23 Monaragala","1,384","3","1,387","1,427","46","1,473","2,811","49","2,860"
"24 Ratnapura","497","10","507","382","20","402","879","30","909"
"25 Kegalle","68","-","68","190","17","207","258","17","275"
"Total","36,381","1,316","37,697","21,457","1,441","22,898","57,838","2,757","60,595"
