"Table 1.7: Fishing Households and Active Fishers (Marine Fisheries) - 2017","","","","","","",""
"","","","","Active Fishers","","",""
"","","Number of FI","","","Fishing Household","","Average Fishers per"
"","Fisheries District","","Fishing Households","(Fishermen &","","",""
"","","Divisions","","","Population","Household",""
"","","","","women)","","",""
"1","Negombo","13","8,770","10,300","41,630","","1.2"
"2","Colombo","10","1,780","2,090","7,820","","1.2"
"3","Kalutara","9","4,650","4,870","18,600","","1.0"
"4","Galle","9","9,070","11,350","44,890","","1.3"
"5","Matara","9","11,330","14,100","48,720","","1.2"
"6","Tangalle","12","8,880","14,130","37,280","","1.6"
"7","Kalmunai","12","18,300","16,380","90,600","","0.9"
"8","Batticaloa","16","26,390","39,250","117,420","","1.5"
"9","Trincomalee","11","31,280","31,830","106,600","","1.0"
"10","Mullaitivu","4","4,230","5,290","18,200","","1.3"
"11","Kilinochchi","5","4,240","3,920","17,610","","0.9"
"12","Jaffna","14","21,290","24,770","102,170","","1.2"
"13","Mannar","6","14,640","14,300","61,490","","1.0"
"14","Puttalam","8","10,760","19,000","51,130","","1.8"
"15","Chilaw","11","8,040","9,290","38,180","","1.2"
"","Total","149","183,650","220,870","802,340","","1.2"
