"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt) 2015 - 2017","","","","","","","",""
"","","2015","","","2016","","","2017",""
"District","","","","","","","","",""
"","Marine","Inland","Total","Marine","Inland","Total","Marine","Inland","Total"
"1 Colombo","6,770","570","7,340","6,310","910","7,220","5,935","230","6,165"
"2 Gampaha","36,260","310","36,570","31,150","320","31,470","29,720","480","30,200"
"3 Kalutara","32,350","430","32,780","46,090","620","46,710","42,440","960","43,400"
"4 Kandy","-","680","680","","780","780","-","1,340","1,340"
"5 Matale","-","840","840","","1,290","1,290","-","1,320","1,320"
"6 Nuwara eliya","-","170","170","","80","80","-","310","310"
"7 Galle","55,240","490","55,730","56,890","650","57,540","47,750","900","48,650"
"8 Matara","35,190","230","35,420","30,550","400","30,950","28,800","410","29,210"
"9 Hambantota","66,100","4,210","70,310","62,510","4,480","66,990","68,050","9,330","77,380"
"10  Jaffna","29,290","-","29,290","32,260","-","32,260","44,465","","44,465"
"11  Mannar","19,390","1,350","20,740","17,510","2,190","19,700","21,380","1,710","23,090"
"12  Vavunia","-","1,500","1,500","","2,770","2,770","-","2,290","2,290"
"13  Mullaitivu","10,080","400","10,480","11,140","650","11,790","5,470","1,800","7,270"
"14  Kilinochchi","13,800","490","14,290","14,560","800","15,360","11,840","1,370","13,210"
"15  Batticaloa","27,790","2,330","30,120","28,500","2,000","30,500","23,500","3,000","26,500"
"16  Ampara","18,240","2,710","20,950","20,180","9,690","29,870","20,880","10,430","31,310"
"17  Trincomalee","24,770","6,720","31,490","23,780","6,250","30,030","33,410","6,090","39,500"
"18  Kurunegala","-","2,620","2,620","","5,690","5,690","","3,120","3,120"
"19  Puttalam","77,620","10,620","88,240","75,560","10,700","86,260","65,800","6,480","72,280"
"20  Anuradhapura","-","11,940","11,940","","12,990","12,990","-","15,760","15,760"
"21  Polonnaruwa","-","7,160","7,160","","3,530","3,530","-","8,310","8,310"
"22  Badulla","-","880","880","","470","470","-","850","850"
"23  Monaragala","-","7,770","7,770","","4,200","4,200","-","3,140","3,140"
"24  Ratnapura","-","2,860","2,860","","2,450","2,450","-","2,220","2,220"
"25  Kegalle","-","20","20","","20","20","-","20","20"
"Total","452,890","67,300","520,190","456,990","73,930","530,920","449,440","81,870","531,310"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
