"Table 5.1:  Stocking of Fish Fingerlings","","","","","","",""
"Type of Water body","2011","2012","2013","2014","2015","2016","2017"
"Major Reservoirs","","","","","","",""
"No. of Tanks","33","28","36","34","32","38","38"
"Area (ha)","61,720","50,945","65,144","60,544","63,298","70,834","75,599"
"Stocks (Mn)","8","6","9","9","12","17","23"
"Beneficiaries/ Fishermen","6,785","5,562","7,276","6,870","7,214","7,540","8,312"
"Medium Reservoirs","","","","","","",""
"No. of Tanks","48","41","71","65","66","71","70"
"Area (ha)","21,041","17,113","25,997","22,673","24,485","25,367","26,327"
"Stocks (Mn)","9","8","13","13","16","20","23"
"Beneficiaries/ Fishermen","3,349","3,038","4,504","4,120","4,326","4,550","5,169"
"Minor Reservoirs","","","","","","",""
"No. of Tanks","318","232","264","190","257","260","270"
"Area (ha)","13,890","14,605","16,331","11,753","15,426","15,575","16,140"
"Stocks (Mn)","18","15","16","11","16","19","30"
"Beneficiaries/ Fishermen","5,354","3,920","4,986","3,588","4,450","4,640","7,041"
"Seasonal Tanks","","","","","","",""
"No. of Tanks","535","620","871","256","453","303","97"
"Area (ha)","5,885","8,060","11,323","3,328","5,889","4,550","1,165"
"Stocks (Mn)","8","7","9","3","7","6","2"
"Beneficiaries/ Fishermen","5,571","7,440","9,580","2,815","4,980","3,325","1,150"
"Ponds and Other","","","","","","",""
"No. of Ponds","481","686","797","782","654","545","600"
"Area (ha)","24","34","40","39","33","28","31"
"Stocks (Mn)","2","1","2","3","2","2","1"
"Beneficiaries/ Fishermen","481","686","797","782","654","545","600"
"Other","","","","","","",""
"Stocks (Mn)","0.7","3.4","-","0.7","0.7","2.0","1.5"
"Total","","","","","","",""
"No. of Tanks/Ponds","1,415","1,607","2,039","1,327","1,462","1,217","1,075"
"Area (ha)","102,560","90,757","118,835","98,337","109,131","116,354","119,262"
"Stocks (Mn)","45","37","48","39","53","66","81"
"Beneficiaries/ Fishermen","21,540","20,646","27,143","18,175","21,624","20,600","22,272"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","",""
