"System","2015","2016","2017"
"Capture Fishery","","",""
"Major Perennial Reservoirs","-","-","-"
"Medium Perennial Reservoirs","-","-","-"
"Minor Perennial Reservoirs","3,826","5,636","8,420"
"Seasonal Tanks","2,713","10,114","4,783"
"Villu","678","326","1,342"
"Rivers and Cannals","857","1,457","1,743"
"Sub-Total","8,074","17,533","16,288"
"Culture Base Capture Fishery","","",""
"Major Perennial Reservoirs","19,894","17,673","28,017"
"Medium Perennial Reservoirs","10,626","9,596","11,123"
"Minor Perennial Reservoirs","18,060","12,813","12,154"
"Villu","400","490","922"
"Rivers and Cannals","-","-","-"
"Sub-Total","48,980","40,572","52,216"
"Aquaculture (Freshwater)","","",""
"Seasonal Tanks","2,368","5,726","2,179"
"Estate Tanks","25","10","40"
"Estate Ponds","","","3"
"Lagoons (Fish)","548","3,421","5,922"
"Ponds","232","212","305"
"Sub-Total","3,173","9,369","8,449"
"Aquaculture (Brackishwater)","","",""
"Shrimp Farms","6,836","6,028","4,626"
"Ponds","15","32","42"
"Cage Culture","52","120","232"
"Pen Culture","5","71","19"
"Sub-Total","6,908","6,251","4,919"
"Total","67,135","73,725","81,872"
"Source  : Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","",""
