"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2017","","","","","","","",""
"Month","Sprats","Kattawa Thora","","Mora","Balaya","Angulawa Maduwa Koduwa","","","Salaya"
"January","456.16","736.36","1008.00","735.93","453.17","715.21","420.19","-","-"
"February","456.58","733.20","1029.81","751.41","463.25","730.07","433.94","-","-"
"March","452.07","728.08","1018.06","746.11","482.77","719.61","426.25","-","-"
"April","499.29","762.12","1008.56","749.92","499.58","743.16","423.25","-","-"
"May","523.70","788.57","791.94","771.67","450.50","740.50","461.00","-","-"
"June","545.70","784.50","1049.25","783.70","502.74","754.28","490.61","-","-"
"July","588.39","766.25","1131.00","770.75","413.00","738.25","465.50","-","-"
"August","490.00","731.09","1061.50","773.00","373.00","707.00","400.00","-","-"
"September","492.66","755.00","1091.75","773.25","338.75","738.50","443.17","-","282.73"
"October","438.50","774.50","1107.00","776.00","262.50","759.68","434.44","-","274.00"
"November","449.31","750.50","1122.00","771.00","281.89","609.84","503.92","456.67","-"
"December","481.50","746.50","1067.50","741.00","363.50","730.50","435.00","-","-"
"Average","489.49","754.72","1040.53","761.98","407.05","723.88","444.77","",""
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
"","Table 7.9  Retail Prices of Dried Fish at Colombo and Suburbs Markets (Rs/Kg) - 2016-2017","","","","","","","",""
"Month","Sprats","Kattawa Thora","","Mora","Balaya","Angulawa Maduwa Koduwa","","","Salaya"
"January","1016.32","1155.90","1386.60","1112.74","849.84","985.11","773.33","-","545.27"
"February","1038.89","1177.71","1549.45","1093.17","845.81","1018.00","776.25","-","486.86"
"March","1038.50","1172.43","1465.96","1079.07","833.74","1018.54","800.52","-","532.38"
"April","1062.39","1203.38","1484.42","1071.07","889.29","1028.47","785.94","-","577.49"
"May","1110.91","1205.18","1475.59","1094.84","847.85","1015.95","788.19","-","564.87"
"June","1159.71","1226.03","1448.51","1090.64","854.68","1007.77","796.04","-","593.50"
"July","1129.03","1012.60","1274.66","943.99","642.22","910.83","694.00","-","427.66"
"August","1179.69","1192.46","1433.57","1122.22","817.15","1036.37","781.67","-","581.76"
"September","1212.36","1195.07","1502.22","1126.10","838.24","1048.19","900.69","-","624.00"
"October","1156.69","1181.32","1554.65","1087.78","961.36","949.70","919.29","-","634.11"
"November","1152.11","1173.91","1543.79","1089.41","820.84","1056.59","779.47","-","597.54"
"December","1194.54","711.18","1164.92","1530.01","1090.73","892.79","780.68","-","622.54"
"Average","1120.93","1133.93","1440.36","1120.09","857.65","997.36","798.01","-","565.66"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","",""
"","","","53","","","","","",""
