"Table 4.4: Marine Sector Fish Catch by Fisheries Districts (Mt)","","","","","","","","","","","","",""
"Fisheries","","","","","","","","","","","","",""
"","1995","2000","2005","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"District","","","","","","","","","","","","",""
"1  Negombo","30,570","34,540","16,940","35,820","37,490","28,250","35,530","35,990","41,080","38,030","36,260","31,150","29,720"
"2  Colombo","2,550","3,130","560","1,030","830","1,990","3,370","2,970","4,780","7,110","6,770","6,310","5,935"
"3  Kalutara","28,910","33,140","11,560","39,580","33,100","43,360","51,870","52,610","48,170","40,180","32,350","46,090","42,440"
"4  Galle","21,430","27,830","11,210","14,800","24,930","21,830","25,330","27,410","49,230","51,550","55,240","56,890","47,750"
"5  Matara","29,930","35,480","17,090","47,810","44,180","38,970","46,580","48,380","48,850","42,370","35,190","30,550","28,800"
"6  Tangalle","23,260","33,470","6,220","20,850","20,990","20,170","26,830","27,320","42,540","58,870","66,100","62,510","68,050"
"7  Kalmunai","7,290","9,210","7,940","22,050","16,260","16,380","20,120","23,410","23,070","21,660","18,240","20,180","20,880"
"8  Batticaloa","8,360","9,860","7,650","21,850","24,530","39,610","34,290","35,690","37,130","31,720","27,790","28,500","23,500"
"9  Trincomalee","9,130","13,540","6,790","17,980","27,690","36,250","33,910","36,410","24,370","22,340","24,770","23,780","33,410"
"10  Mullaitivu","400","500","780","260","na","1,360","2,580","6,790","8,480","8,930","10,080","11,140","5,470"
"11  Kilinochchi","na","na","1,460","360","na","560","5,260","6,700","14,670","15,780","13,800","14,560","11,840"
"12  Jaffna","3,400","6,400","12,790","5,830","13,080","20,890","25,670","32,400","21,380","25,890","29,290","32,260","44,465"
"13  Mannar","700","1,200","8,380","7,390","8,130","10,790","12,860","13,450","11,110","22,130","19,390","17,510","21,380"
"14  Puttalam","27,020","29,730","11,670","16,960","20,010","24,830","31,120","31,540","34,530","38,280","43,790","41,890","35,890"
"15  Chilaw","24,550","25,650","9,360","22,060","21,950","27,020","29,950","36,150","36,540","34,460","33,830","33,670","29,910"
"Total","217,500","263,680","130,400","274,630","293,170","332,260","385,270","417,220","445,930","459,300","452,890","456,990","449,440"
