Table 2:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Jul, 2024  Jan-Jul, 2025  Jan-Jul,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,7513.87035,6198.188749999999,6777.05515,7828.6461100000015,3749.47505,4283.4125,4619.40335,23.201335877671717,7.843999381334372,14.147093491848628
Dried Sprats,24873.618,24607.422700000003,24456.9713,22797.82765,23197.825800000002,24805.64512,31102.3052,25071.350500000004,23723.869,22759.015,27362.816,15095.918999999998,16834.798,14258.622000000001,-5.546512272621475,-15.3026843565334,43.66755687158812
Maldive fish,1255.6349999999998,2216.39342,2731.68475,2674.2638899999997,2317.74345,2520.9943,2545.2419,2187.5960099999998,1537.6745400000002,1714.6443,1943.2035,1038.484,753.051,1164.058,12.092049564557573,54.578906342332715,3.564970648413789
Canned Fish,19591.357,49016.10115,37088.75633999999,40613.82522,28068.096079999996,36805.67494,26043.65227,8758.08089,3430.9636000000005,7904.427664999999,4476.0473600000005,2148.075895,3440.05257,52.43118,-97.55915607441794,-98.47586108255317,0.16057242659876064
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.903229999996,18536.1379309999,12801.184029999999,10166.02306,3821.975189999999,5983.1300200000005,11696.515019999999,2290.67656,6420.501600000001,8737.94797,281.457082269179,36.09447539114385,26.76028861140669
Live fish(2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56475999999999,142.64001,131.58426,135.8647,216.62275000000002,80.32848,111.38675,120.49829,50.006934028877424,8.180093233710464,0.369030466724212
Other,1399.007,1787.1263999999996,1692.15534,1756.9549199999997,2496.6432999999997,2529.1466,1574.854269,2336.69288,2892.44351,3534.0373200000004,4827.472236999999,1656.21503,3368.1703899999993,3699.7063650000005,123.38321401418513,9.843206744656442,11.330487483419791
Total,78711.79400000001,120045.58436999998,115692.89916000002,106020.06460999999,84463.0947,95636.9350709999,85809.11018900001,56176.253699999994,41736.69885,48808.17415499999,58351.322977,26059.174014999997,35211.37281,32652.667155000003,25.30200357158176,-7.266702348717649,100
,,,,,,,,,,,,,,,,,
Table 3:  Value of Imported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Jul, 2024  Jan-Jul, 2025  Jan-Jul,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish,2440.7795530000003,2357.2555180599998,3416.1045603400003,3807.79578,4217.654639,5257.2873899999995,6353.206005,4871.0541650000005,3469.980321,3510.759884,5330.572885,1809.5874310000002,2790.172591,3143.6313959999998,73.72089030607329,12.66799072358889,16.1728172588662
Dried Sprats,5863.618722999999,7152.593688999999,9036.9923555,9368.691663,9374.649756190001,9520.754661,10926.718608,9118.893338,9955.459171,9010.941962,14609.979726000001,5181.217847000001,8570.578208,6685.976406999999,29.04256498057257,-21.989202539927412,34.39686814589308
Maldive fish,646.6040899999999,1658.35257022,1993.8481,1624.212214,1528.0421973400003,1668.372523,1923.729326,1453.3193520000002,925.709063,925.6077819999999,1422.1542459999998,519.026824,516.4959709999999,780.315893,50.3421127614013,51.07879573372317,4.014435775687867
Canned Fish,5092.198891999999,11918.761415999998,9638.225181,9605.574855,8615.929668,13650.557222,10764.337708,4890.95896,2671.9281590000005,6172.603518000001,3317.8472949999996,1618.8029,2323.0669679999996,74.24997599999999,-95.41327878767699,-96.80379528344272,0.38198858010234765
Food fish,4356.755496,6763.7629022,10110.62955334,8604.74907857,7322.68758512,7410.591563,4658.603794,3401.368626,2107.85096,2744.1597690000003,5185.8619419999995,1034.7080620000002,2818.7973620000002,4109.577463,297.17265322708954,45.79187274689947,21.142251411798142
Live fish,117.523067,196.81875526,214.78843461000002,333.62701179,257.407716,287.572027,174.919406,253.00247300000004,430.028657,368.55264800000003,485.76728099999997,221.03234700000002,268.90513899999996,292.67364,32.41213061000522,8.838990987078168,1.505697297154489
Other,342.46071,681.096141,761.6816415100001,624.806307,1410.013024659991,1157.2691980000018,702.803783,1091.4207809999998,2103.214929,4001.1157150000004,6319.552109000001,1168.150692,4721.478408,4351.322808999999,272.496702591518,-7.839824034201125,22.385941530497856
Total,18859.940530999997,30728.64099174,35172.2698263,33969.45690936,32726.384586309996,38952.404584,35504.31863,25080.017695,21664.17126,26733.741278,36671.735484000004,11552.526103,22009.494647000003,19437.747584,68.25538770219562,-11.684716547322196,100
,,,,,,,,,,,,,,,,,
Table 4:  Exported Quantity of Fish and Fishery Products (Mt),,,,,,,,,,,,,,,,,
Item,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024, 2023  Jan-Jul, 2024  Jan-Jul, 2025  Jan-Jul,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish(2),na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na ,na 
Prawns ,2001.2790000000002,1340.87685,1666.9001240000002,1844.49075,1983.8250300000002,2115.2169400000002,1780.5468,4746.95174,5486.42846,4019.576705,3431.8869700000005,2267.9308100000003,2127.9702800000005,1540.7866000000001,-32.06201030445016,-27.593603421942536,10.574700645571806
Lobsters ,300.581,204.39748,174.99682,224.39643999999998,231.49798,229.16116,99.34371,196.23825999999997,113.91759,126.77627000000001,82.19368,69.58038,46.361059999999995,66.92695,-3.813474430579425,44.360266999934886,0.4593319161596758
Crabs,1872.4490000000003,1709.6114800000003,2117.15499,1819.23406,1400.5223079999998,1817.88852,1360.50044,1662.3696,1849.46081,1677.65806,2186.7247399999997,999.21965,1079.3692099999998,1036.94459,3.7754401647325553,-3.930501223024491,7.116740647468761
Beche de mer,164.555,169.2616,136.1737,150.35972,247.53267000000002,502.723,326.32905,335.68565,417.56933000000004,400.77457000000004,252.08763000000002,251.68637,187.22984,169.88535000000002,-32.50117199433564,-9.26374236072625,1.1659542731733208
Other Moluscus,2430.612,1371.3491099999999,1567.58363,3152.4305460000005,3672.4951784,2590.0320799999995,1476.5406300000002,2167.6695799999998,2087.85874,3115.2293400000003,2211.17303,1704.34267,1464.3506199999997,1544.9009300000002,-9.355028352367647,5.500752954917351,10.602938045940615
