"Fisheries Indicators","","","","","",""
"Description","Unit","2017","2018","2019","2020","2021"
"1 Contribution to GDP(1) at Current Market Prices","%","1.3","1.2","1.3","1.1","1.1"
"a. Marine fishing","%","1.2","1.0","1.1","0.9","0.9"
"b. Inland fishing","%","0.1","0.2","0.2","0.2","0.2"
"2 Contribution to GDP(1) at Constatnt Prices (2010)","%","1.3","1.3","1.2","1.1","1.0"
"a. Marine fishing","%","1.2","1.1","1.1","0.9","0.9"
"b. Inland fishing","%","0.2","0.2","0.2","0.2","0.2"
"Growth Rate of Fisheries Contribution to GDP (at Current Market","","","","","",""
"3","%","2.6","0.7","9.5","-15.6","8.9"
"Prices)","","","","","",""
"a. Marine fishing","%","-0.1","-4.1","11.1","-20.3","10.0"
"b. Inland fishing","%","32.7","41.0","0.9","13.7","4.1"
"Growth Rate of Fisheries Contribution to GDP (at Constant Prices-","","","","","",""
"4","%","-0.5","-0.2","-4.4","-17.0","1.5"
"2010)","","","","","",""
"a. Marine fishing","%","-1.7","-1.2","-5.4","-21.4","1.4"
"b. Inland fishing","%","10.7","7.2","3.0","12.7","2.4"
"5  Per capita fish production","Kg/year","24.8","24.3","23.2","19.6","19.7"
"a. Marine fishing","Kg/year","21.0","20.3","19.1","14.9","15.0"
"b. Inland fishing","Kg/year","3.8","4.0","4.1","4.6","4.7"
"7 Percapita fish consumption (All Sectors) (2)","g/day","47.1","46.0","45.4","41.4","38.4"
"8 Percapita fish consumption (All Sectors) (2)","Kg/year","17.2","16.8","16.6","15.1","14.01"
"9 Per capita Fish Consumption (Household Sector) (3)","Kg/year","na","na","3.2","na","na"
"a. Large fish (Marine)","Kg/year","na","na","1.4","na","na"
"b. Small fish (Marine)","Kg/year","na","na","1.2","na","na"
"c. Inland fish","Kg/year","na","na","0.5","na","na"
"d. Other fish","Kg/year","na","na","0.1","na","na"
"10
Per capita  Consumption of Perpared Fish (Household Sector) (3)","","","","","",""
"a. Canned fish","Kg/year","na","na","0.9","na","na"
"b.  Dried fish","Kg/year","na","na","1.0","na","na"
"11
Fish Contribution to Animal Nutrition Intake (4)","","","","","",""
"a. Calorie Intake","%","26.3","20.6","34.5","34.7","33.7"
"b. Protein Intake","%","45","40.0","50.0","52.4","50.0"
"c. Fat Intake","%","15.1","13.3","22.2","20.0","18.8"
"12
Household Expenditure Contribution to Food Basket  (3)","","","","","",""
"a. Fish","%","na","na","8.6","na","na"
"-  Marine","%","na","na","7.7","na","na"
"-  Inland","%","na","na","0.9","na","na"
"c. Canned fish","%","na","na","0.8","na","na"
"b. Dried fish","%","na","na","4.0","na","na"
"-  Marine","%","na","na","3.9","na","na"
"-  Inland","%","na","na","0.1","na","na"
"13 Contribution to National Export Earnings","%","2.3","2.5","1.5","2.2","2.6"
"14 Contribution of Tuna to Total Exports of F & FP in Volume (5)","%","53.5","48.0","49.5","42.2","37.1"
"15 Fishermen per Household (Marine fishing)","Number","1.2","1.2","1.2","1.2","1.2"
"16 Fishermen per Household (Inland fishing)","Number","1.1","1.1","1.1","1.1","1.1"
"","(1) National Accounts of Sri Lanka - Revised base year (2010) estimates (by production, income and expenditure approaches)","","","","",""
