"","Table 4.8:  Inland and Aquaculture Production by Type of Waterbody (Mt)","","","","","",""
"","System","2016","2017","2018","2019","2020","2021"
"","Minor Perennial Reservoirs","5,636","8,420","3,685","3,351","3,441","2,012"
"","Seasonal Tanks","10,114","4,783","5,726","4,550","5,486","4,114"
"","Villu","326","1,342","1,887","610","630","215"
"Capture Fishery","","","","","","",""
"","Rivers and Cannals","1,457","1,743","3,484","4,820","8,130","6,685"
"","Flood Plains","-","-","53","59","43","64"
"","Sub-Total","17,533","16,288","14,835","13,390","17,730","13,090"
"","Major Perennial Reservoirs","17,977","28,013","25,678","25,746","25,505","23,960"
"","Medium Perennial Reservoirs","9,596","11,123","10,007","11,147","13,417","13,738"
"Culture Base","Minor Perennial Reservoirs","12,814","12,154","18,859","21,410","26,068","28,465"
"Capture Fishery","Villu","490","922","1,641","1,537","1,590","1,467"
"","Rivers and Cannals","-","-","-","-","-","-"
"","Sub-Total","40,877","52,212","56,185","59,840","66,580","67,630"
"","Seasonal Tanks","5,726","2,179","2,236","3,690","4,475","4,369"
"","Estate Tanks","10","40","243","178","501","191"
"","Estate Ponds","-","3","6","10","21","4"
"Aquaculture","","","","","","",""
"","Cage Culture","-","-","15","13","9","39"
"(Freshwater)","","","","","","",""
"","Pen Culture","-","-","6","4","10","7"
"","Ponds","212","305","384","210","204","235"
"","Sub-Total","5,948","2,527","2,890","4,105","5,220","4,845"
"","Shrimp Farms","6,030","4,630","8,180","6,400","7,360","14,410"
"","Lagoons (Fish)","3,319","5,920","4,869","5,683","3,999","2,695"
"","Ponds","32","42","137","588","391","527"
"Aquaculture","Cage Culture","120","232","352","28","182","455"
"(Brackishwater)","Pen Culture","71","19","196","280","340","580"
"","Raft","-","-","27","15","3","0"
"","Cement Tank","-","-","19","11","5","3"
"","Sub-Total","9,572","10,843","13,780","13,005","12,280","18,670"
"Total","","73,930","81,870","87,690","90,340","101,810","104,235"
"Seaweed(Wet)","","200","668","320","247","421","218"
"Source  : Statistics Unit, Ministry of Fisheries","","","","","","",""
