"Household Size","","","","","","","","","","","",""
"","4.2 Persons","","4.1 Persons","","4.0 Persons","","3.9 Persons","","3.8 Persons","","3.7 Persons",""
"","Quantity","","Quantity","","Quantity","","Quantity","","Quantity","","Quantity",""
"Species","","%","","%","","%","","%","","%","","%"
"","(g)","","(g)","","(g)","","(g)","","(g)","","(g)",""
"Balaya/Kelawalla","653.7","22.2","712.8","23.2","333.8","9.3","322.1","9.1","306.4","8.3","104.2","10.4"
"Kelawalla","","","","","275.7","7.7","276.8","7.8","280.8","7.6","85.5","8.6"
"Mora","32.5","1.1","35.2","1.1","28.5","0.8","25.7","0.7","19.7","0.5","5.6","0.6"
"Thalapath","129.9","4.4","131.7","4.3","113.7","3.2","137.7","3.9","171.4","4.7","51.5","5.1"
"Paraw","134.4","4.6","121.8","4.0","181.6","5.1","173.4","4.9","181.0","4.9","47.9","4.8"
"Seer","64.2","2.2","30.3","1.0","23.7","0.7","31.8","0.9","24.8","0.7","6.2","0.6"
"Maduwa","","","","","","","","","","","3.6","0.4"
"Other","267.7","9.1","292.2","9.5","487.9","13.6","472.1","13.3","431.0","11.7","117.5","11.7"
"Large Fish  Total","1,282.4","43.5","1,324.0","43.1","1,445.0","40.3","1,439.6","40.7","1,415.1","38.5","422.0","42.2"
"Sprats","89.5","3.0","48.0","1.6","74.6","2.1","62.7","1.8","46.2","1.3","14.3","1.4"
"Hurulla/Salaya","723.0","24.5","659.3","21.5","-","-","-","-","-","-","-","-"
"Hurulla","","","","","403.4","11.2","354.5","10.0","246.0","6.7","60.3","6.0"
"Salaya/ Sudaya","","","","","409.0","11.4","347.4","9.8","343.1","9.3","92.1","9.2"
"Karalla/Katuwalla","37.3","1.3","30.3","1.0","36.0","1.0","41.0","1.2","25.8","0.7","7.1","0.7"
"Kumbala","79.0","2.7","76.1","2.5","83.7","2.3","79.5","2.2","96.7","2.6","28.7","2.9"
"Linna","","","","","","","","","206.7","5.6","60.6","6.1"
"Others","222.6","7.5","318.6","10.4","447.5","12.5","499.4","14.1","437.5","11.9","116.7","11.7"
"Small Fish  Total","1,151.5","39.0","1,132.4","36.9","1,454.3","40.6","1,384.5","39.1","1,402.0","38.1","379.8","38.0"
"Lula","17.6","0.6","21.8","0.7","17.9","0.5","14.4","0.4","27.0","0.7","6.7","0.7"
"Thilapiya","364.1","12.3","418.0","13.6","432.6","12.1","450.8","12.7","589.9","16.0","130.1","13.0"
"Others","79.1","2.7","110.8","3.6","102.5","2.9","105.8","3.0","87.9","2.4","25.6","2.6"
"Inland Fish Total","460.8","15.6","550.6","17.9","553.0","15.4","571.0","16.1","704.9","19.2","162.4","16.2"
"Prawns","28.8","1.0","43.0","1.4","74.3","2.1","83.2","2.4","86.2","2.3","20.4","2.0"
"Crabs","13.7","0.5","10.7","0.3","22.8","0.6","22.9","0.6","30.8","0.8","7.6","0.8"
"Cuttle & Others","13.2","0.4","10.2","0.3","36.7","1.0","35.2","1.0","40.5","1.1","8.0","0.8"
"Crustacians Total","55.7","1.9","63.9","2.1","133.8","3.7","141.3","4.0","157.5","4.3","36.0","3.6"
"Total","2,950.4","100.0","3,071.0","100.0","3,586.1","100.0","3,536.4","100.0","3,679.5","100.0","1,000.2","100.0"
"Grams/Day/Person","23.4","","25.0","","29.9","","30.2","","32.3","","9.0",""
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","",""
