"","Table 3.4:  Inland Fishing Crafts*  by District (2006 - 2021)","","","","","","","","","","","","","","",""
"","District","2006","","2010","","2015","","2016","2017","","2018","","2019","","2020","2021"
"1","Colombo","53","","70","","46","","46","45","","40","","30","","35","30"
"2","Gampaha","19","","20","","10","","39","40","","35","","30","","30","30"
"3","Kalutara","35","","30","","57","","68","75","","71","","75","","80","80"
"4","Kandy","59","","110","","118","","145","145","","125","","125","","125","130"
"5","Matale","324","","360","","289","","323","330","","330","","380","","380","390"
"6","Nuwara Eliya","15","","20","","98","","110","115","","115","","120","","110","120"
"7","Galle","33","","40","","40","","45","55","","51","","80","","20","20"
"8","Matara","29","","40","","58","","120","120","","110","","120","","140","140"
"9","Hambantota","502","","560","","746","","735","740","","740","","830","","820","810"
"10","Jaffna **","","-","","-","","-","-","","-","","-","","-","30","30"
"11","Mannar","50","","50","","271","","331","350","","363","","360","","370","390"
"12","Vavunia","138","","80","","232","","307","295","","280","","260","","260","260"
"13","Mullaitivu","30","","30","","217","","463","425","","415","","380","","380","380"
"14","Kilinochchi","84","","20","","265","","259","245","","240","","240","","230","230"
"15","Batticaloa","171","","380","","495","","574","580","","636","","640","","620","620"
"16","Ampara","579","","620","","1,248","","1,467","1,450","","1,436","","1,350","","1,310","1,300"
"17","Trincomalee","314","","390","","359","","402","445","","445","","440","","460","460"
"18","Kurunegala","498","","670","","732","","673","645","","645","","630","","610","610"
"19","Puttalam","192","","230","","273","","265","265","","255","","255","","300","310"
"20","Anuradhapura","1,736","","1,790","","1,153","","1,321","1,365","","1,376","","1,510","","1,560","1,570"
"21","Polonnaruwa","1,349","","1,490","","1,073","","1,013","1,040","","1,105","","1,010","","1,070","1,080"
"22","Badulla","365","","390","","371","","366","385","","391","","390","","330","330"
"23","Monaragala","314","","410","","482","","418","410","","410","","415","","410","410"
"24","Ratnapura","157","","190","","145","","171","175","","176","","190","","190","200"
"25","Kegalle **","","-","","-","","-","-","5","","5","","10","","10","10"
"","Total","7,046","","7,990","","8,778","","9,661","9,745","","9,795","","9,870","","9,880","9,940"
"Source :  Statistics Unit, Ministry of Fisheries and  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","","","",""
