"","Table 4.2:  National Fish Production** by Administrative Districts (Mt)","","","","","","","","",""
"District","2000","2005","2010","2015","2016","2017","2018","2019","2020","2021"
"1  Colombo","3,240","720","2,110","7,340","7,220","6,165","4,740","3,420","1,820","2,495"
"2  Gampaha","35,140","17,630","28,440","36,570","31,470","30,200","31,370","28,540","25,740","26,620"
"3  Kalutara","33,730","11,740","43,460","32,780","46,710","43,400","43,820","46,490","44,960","43,400"
"4  Kandy","170","310","320","680","780","1,340","690","1,080","940","1,335"
"5  Matale","290","330","720","840","1,290","1,320","1,230","1,460","1,550","1,360"
"6  Nuwara eliya","30","80","90","170","80","310","550","590","540","510"
"7  Galle","27,860","11,240","21,890","55,730","57,540","48,650","55,100","53,690","41,180","45,635"
"8  Matara","35,510","17,100","39,010","35,420","30,950","29,210","30,280","24,100","25,300","24,885"
"9  Hambantota","34,980","7,680","23,450","70,310","66,990","77,380","72,410","65,480","51,970","46,600"
"10  Jaffna","6,650","12,970","20,970","29,290","32,260","44,465","41,210","44,390","32,650","25,360"
"11  Mannar","1,430","8,380","11,010","20,740","19,700","23,090","23,880","26,585","20,320","18,035"
"12  Vavunia","270","290","490","1,500","2,770","2,290","400","490","700","345"
"13  Mullaitivu","500","780","1,370","10,480","11,790","7,270","4,340","6,260","8,670","14,500"
"14  Kilinochchi","na","1,460","570","14,290","15,360","13,210","12,280","12,595","7,630","6,060"
"15  Batticaloa","13,450","10,110","41,250","30,120","30,500","26,500","20,550","21,090","14,430","15,620"
"16  Ampara","10,500","10,210","22,520","20,950","29,870","31,310","32,560","25,060","27,970","23,010"
"17  Trincomalee","17,500","8,030","38,090","31,490","30,030","39,500","40,790","33,650","25,190","34,680"
"18  Kurunegala","2,180","2,140","4,390","2,620","5,690","3,120","3,870","4,410","6,450","6,035"
"19  Puttalam","61,870","28,240","57,670","88,240","86,260","72,280","74,000","67,400","47,880","60,825"
"20  Anuradhapura","6,690","5,640","11,920","11,940","12,990","15,760","12,940","17,840","21,850","19,325"
"21  Polonnaruwa","4,870","4,730","7,950","7,160","3,530","8,310","11,600","9,960","9,510","8,685"
"22  Badulla","660","820","1,240","880","470","850","1,470","2,120","2,680","1,775"
"23  Monaragala","2,750","1,870","2,950","7,770","4,200","3,140","5,240","7,550","7,440","7,435"
"24  Ratnapura","100","730","2,770","2,860","2,450","2,220","1,720","1,550","1,330","1,325"
"25  Kegalle","10","na","20","20","20","20","20","30","40","55"
"Total","300,380","163,230","384,670","520,190","530,920","531,310","527,060","505,830","428,740","435,910"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","",""
