"","Table 5.2:  Stocking of  Post Larve  ( Freshwater  Prawns)","","","","","","","",""
"Type of Water body","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Major Reservoirs","","","","","","","","",""
"No. of Tanks","17","13","20","27","34","30","29","23","33"
"Area (ha)","32,025","32,272","48,401","58,754","68,452","57,953","53,855","39,909","69,665"
"Stocks (Mn)","9.64","5.32","8.78","16.6","21.94","22","31.27","41.8","15.4"
"Beneficiaries/ Fishermen","3,122","2,387","4,670","5,200","7,880","na","5,198","4,075","6,036"
"Medium Reservoirs","","","","","","","","",""
"No. of Tanks","30","19","36","35","49","48","38","33","59"
"Area (ha)","10,976","6,544","13,244","13,142","16,824","17,780","14,525","11,716","21,620"
"Stocks (Mn)","5.19","2.10","6.54","9","17.54","25","17.97","19.9","17.13"
"Beneficiaries/ Fishermen","2,000","1,260","2,601","2,460","3,590","na","2,241","1,930","3,474"
"Minor Reservoirs","","","","","","","","",""
"No. of Tanks","62","18","51","84","114","132","114","75","142"
"Area (ha)","5,145","1,490","3,589","5,850","7850","9438","6783","7,050","8,600"
"Stocks (Mn)","4.86","2.16","5.34","10.1","17.23","23","16.07","13.90","17.16"
"Beneficiaries/ Fishermen","1,540","440","1,050","1750","2320","na","2004","1,377","2,600"
"Seasonal Tanks","","","","","","","","",""
"No. of Tanks","64","na","10","16","1","3","1","6","4"
"Area (ha)","832","na","130","190","12","30","12","58","40"
"Stocks (Mn)","0.59","na","0.14","0.38","0.1","0.1","0.02","0.1","0.21"
"Beneficiaries/ Fishermen","768","na","110","180","15","na","15","60","40"
"Ponds","","","","","","","","",""
"No. of Ponds","40","48","43","59","73","36","51","33","7"
"Area (ha)","2","2.40","2.15","2.95","4","2","2.7","6.8","1.5"
"Stocks (Mn)","0.15","0.22","0.40","0.4","0.33","0","0.47","0.4","0.08"
"Beneficiaries/ Fishermen","40","48","43","59","73","36","51","33","7"
"Other","","","","","","","","",""
"No of Units","na","na","na","na","na","8","2","6","9"
"Area (ha)","na","na","na","na","na","na","na","423","na"
"Stocks (Mn)","","","1.07","2","3.7","3","0.115","1.5","2.18"
"Beneficiaries/ Fishermen","na","na","na","na","na","na","na","62","na"
"Total","","","","","","","","",""
"No. of Tanks/Ponds","213","98","160","221","271","257","235","176","254"
"Area (ha)","48,980","40,308","65,366","77,939","93,142","85,203","75,178","59,163","99,927"
"Stocks (Mn)","20.28","9.80","22.27","38.38","60.84","73.10","65.92","77.60","52.16"
"Beneficiaries/ Fishermen","7,470","4,135","8,474","9,649","13,878","36","9,509","7,537","12,157"
"Source :  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","",""
