"","Table 2.2: Active Ice Plants and Production Capacity by Districts (1983 - 2020)","","","","","","","","","","","","","","",""
"","","1983","","","1997","","","2005","","","2010","","2017/2018","","","2019/2020"
"Addministrative","","","","","","","","","","","","","","","",""
"","","Production","","","Production","","","Production","","","Production","","","Production","","Production"
"Fisheries District","Ice","","","Ice","","","Ice","","","Ice","","","Ice","","Ice",""
"District","","","","","","","","","","","","","","","",""
"","","","Capacity","","Capacity","","","Capacity","","","Capacity","","","Capacity","","Capacity"
"","plants","","","plants","","","plants","","","plants","","","plants","","plants",""
"","","","(Mt/day)","","","(Mt/day)","","","(Mt/day)","","","(Mt/day)","","(Mt/day)","","(Mt/day)"
"Colombo 
Colombo
1","17","","339","3","","103","2","","10","3","","25","-","-","-","-"
"Gampaha                 Negombo
2","-","","-","-","","-","10","","329","6","","245","12","689","14","607"
"Kalutara                Kalutara
3","2","","20","4","","106","2","","60","5","","185","6","278","6","253"
"Matale             
Matale
5","-","","-","-","","-","1","","8","-","","-","1","15","1","15"
"Galle
Galle
7","1","","50","3","","100","3","","76","9","","189","5","120","9","289"
"Matara             
Matara
8","2","","10","8","","180","5","","180","2","","20","11","452","11","397"
"Hambantota                Tangalle
9","1","","10","5","","32","3","","40","6","","44","14","480","14","549"
"Jaffna
Jaffna
10","12","","85","1","","3","6","","8","4","","313","6","130","5","135"
"Mannar
11 Mannar","3","","12","2","","20","4","","34","-","","-","4","164","4","141"
"Mullaitivu
13 Mullaitivu","3","","23","-","","-","-","","-","8","","17","2","47","2","47"
"Kilinochchi                 Kilinochchi
14","-","","-","-","","-","-","","-","-","","-","2","11","2","85"
"Batticaloa               Batticaloa
15","4","","28","1","","10","-","","-","4","","36","4","113","5","165"
"16
Ampara                        Kalmunai","3","","11","5","","10","-","","-","5","","148","3","32","3","32"
"Trincomalee          Trincomalee
17","5","","30","3","","20","2","","100","6","","140","6","316","8","285"
"Kurunegala                
18","-","","-","-","","-","-","","-","1","","10","1","1","1","1"
"Puttalam","9","","64","3","","75","3","","90","5","","175","8","230","6","167"
"19
Puttalam","","","","","","","","","","","","","","","",""
"Chilaw","-","","-","-","","-","5","","121","6","","140","5","215","9","378"
"Anuradhapura                
20","-","","-","-","","-","1","","10","1","","10","2","13","2","18"
"Polonnaruwa            
21","-","","-","","","","-","","-","-","","-","1","2","1","15"
"22 Monaragala","-","","-","","","","","","","","","","1","2","1","2"
"Total
Total","62","","682","35","","584","47","","1,066","71","","1,697","94","3,310","104","3,580.65"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","","","","","",""
