"","Table 5.7:  Production of Fish Fingerlings by species in Aquaculture Centers of NAQDA, 2021 (Mn)","","","","","","",""
"Aquaculture Development","","","","Common/Jian","","","",""
"","Tilapia","Rohu","Catla","","","Mrigal","Other(1)","Total"
"Centre","","","","Carp","","","",""
"Inginiyagala","1.41","1.60","1.12","","0.20","3.03","-","7.36"
"Dambulla","2.86","1.62","0.97","","1.05","0.02","1.28","7.79"
"Udawalawe (Carp)","-","1.35","1.36","","0.32","1.18","-","4.21"
"Udawalawe (Tilapia)","2.35","-","-","","-","-","-","2.35"
"Udawalawe new","0.15","0.33","0.24","","0.19","0.17","-","1.07"
"Nuwara-Eliya","-","-","-","","0.37","-","-","0.37"
"Kala wewa","2.04","0.62","0.72","","0.30","0.35","0.23","4.26"
"Iranamadu","2.44","1.08","0.97","","0.03","-","-","4.51"
"Muruthawela","0.18","1.24","0.84","","0.32","0.57","-","3.15"
"Sewanapitiya","2.49","0.68","2.41","","0.98","0.49","-","7.06"
"Sub - Total","13.92","8.52","8.63","","3.75","5.80","1.51","42.14"
"Other","","","","","","","",""
"Community bassed Mini- Hatcheries 6.66","","3.43","0.75","","1.15","5.18","0.05","17.23"
"Water based Mini hatcheries","0.22","-","-","","-","-","-","0.22"
"Private Ponds","12.74","5.59","1.11","","2.08","4.91","0.32","26.75"
"Pens & Cages","6.27","6.10","3.17","","2.47","7.00","0.23","25.24"
"Sub - Total","25.90","15.12","5.03","","5.71","17.09","0.60","69.45"
"Total","39.82","23.64","13.66","","9.46","22.89","2.11","111.59"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","",""
"(1) Other carp varieties, Hirikanaya, etc.","","","","","","","",""
