Table 1: Summary of Import and Export of Fish and Fishery Products,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Year,Exports,,,Imports,,,Balance of Fish Trade,,Exchange Rate(1),Contribution to National Exports Earnings (%)
,Quantity (Mt),Value (RS.Mn),Value    (US $ Mn),Quantity (Mt),Value (RS.Mn),Value     (US $ Mn), (Rs.Mn),US $ Mn,Rs./1 US$,
2000,18554,10328,136.29426434902487,77339,5132,67.72484165755186,5196,68.56942269147301,75.77721666666666,2.5670566653989844
2005,15985,10695,106.41896934297854,76584,7099,70.63751878128141,3596,35.781450561697135,100.499,1.7264583076269941
2006,18647,14440,138.8964704281094,77382,9681,93.12027217552127,4759,45.77619825258813,103.962325,2.0528349346207326
2007,21422,19123,172.8660895725309,86156,11961,108.12379320070293,7162,64.74229637182798,110.6232,2.2533388905388807
2008,20594,19077,176.09468023666366,76266,12521,115.57799922646463,6556,60.51668101019903,108.33376666666668,2.1577161301232763
2009,18714,21015,182.82689926188127,75411,13939,121.2669116731555,7076,61.559987588725754,114.94479250505755,2.568542191235062
2010,18325,19834,175.42169065507983,80013.04200000002,14162,125.25572164249473,5672,50.165969012585094,113.06469528331188,2.1151295431946484
2011,18462,21876,197.85609771619767,81957,16240,146.8816523546832,5636,50.97444536151445,110.56520497729953,1.9750619502222746
2012,18631,26363,206.60115330427467,71413,17401,136.36788941500146,8962,70.2332638892732,127.60335350680997,2.250430776869142
2013,23910,31792,246.2398305526281,78401,21119,163.57382301965754,10673,82.66600753297055,129.10990041152255,2.4600385340483153
2014,26320,34797,266.5199385090278,78712,18860,144.4540058131524,15937,122.06593269587539,130.56058842975204,2.413066763286627
2015(2),17461,24716,181.81846436721602,120046,30729,226.05193362761696,-6013,-44.23346926040095,135.93778874999992,1.7804769702348449
2016(2),17593,26802,184.07760133469827,115693,35172,241.56321894425818,-8370,-57.4856176095599,145.60163651452294,1.8016075342501892
2017,24827,39230,257.3175451731515,106020,33969,222.80957665018562,5261,34.50796852296584,152.45754024896263,2.3
2018,27998.1,47948.6,294.9956933677864,84463.1,32726.4,201.343669250646,15222.199999999997,93.65202411714039,162.54,2.5
2019,28770.8,53482.9,299.1588431660342,95636.9,38952.4,217.88188229397866,14530.5,81.27696087205555,178.7776,1.54
2020,21298.340255,39873.974728,214.92646618924365,85809.11018900001,35504.31863,191.37339052994818,4369.6560979999995,23.553075659295462,185.5238,2.17
2021,26749.25773,63222.485357000005,317.88876015787105,56176.253699999994,25080.017695,126.10475030808452,38142.46766200001,191.78400984978651,198.88241825726155,2.5852381925986507
2022,25729.91779,97242.84000499999,302.180355898014,41736.69885,21664.17126,70.33268232843811,75578.66874499999,231.84767356957587,324.55059916666653,2.4
2023,24503.15367,99118.048064846,302.663548602672,48808.17415499999,26733.741278,82.1713176541753,72384.306786846,220.49223094849668,327.5330566115703,2.3
2024,22556.264409999992,86240.90700704919,285.162660269998,58351.322976999996,36671.735484000004,121.554561851206,49569.17152304918,163.608098418792,302.118046694215,na
2025 Jan-May,9290.213679999999,32955.48041871755,110.81315288478703,22185.559750000004,13040.431132000002,43.87224292771638,19915.049286717545,66.94090995707066,297.370990931067,na
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,
(1) Average of the relevant period,,,,,,,,,,
   (2) EU fish export ban (2015.01.15 - 2016.06.15),,,,,,,,,,
