"","Table 6.2 : Export Quantity of Fish and Fishery Products ( Mt)","","","","","","","","","","",""
"Exported Item","1983","1990","1995","2000","2005","2010","2015","2016","2017","2018","2019","2020"
"Shrimps","1,720","1,855","2,781","4,855","1,800","1,262","1,341","1,667","1,845","1,984","2,115","1,781"
"Lobsters","207","165","283","164","183","166","204","175","224","231","229","99"
"Crabs","na","na","898","554","1,012","1,848","1,710","2,117","1,819","1,401","1,818","1,360"
"Beche de Mer","56","36","248","87","258","178","169","136","150","248","503","326"
"Ornamental Fish","na","na","na","na","na
      na","na","na","na","na","na","na","na"
"Chank & Shells","144","na","746","698","546","617","289","297","355","329","275","221"
"Shark Fins","57","51","127","119","74","69","39","36","53","86","91","55"
"Molluscs","na","1","51","15","300","496","1,371","1,568","3,153","3,672","2,590","1,477"
"Fish Maws","na","na","1","1","1","1","2","1","7","5","4","2"
"Food Fish","209","821","1,978","11,873","10,960","13,372","11,807","11,101","16,250","18,031","19,885","13,858"
"Others","-","-","12","188","851","316","529","495","971","2,011","1,261","2,119"
"Export Quantity","2,393","2,931","7,126","18,554","15,985","18,325","17,461","17,593","24,827","27,998","28,771","21,298"
"","Source :  Custom Returns/ Statistics Unit - Ministry of Fisheries","","","","","","","","","","",""
