"Fisheries Indicators","","","","","",""
"Description","Unit","2016","2017","2018","2019","2020"
"1 Contribution to GDP(1) at Current Market Prices","%","1.4","1.3","1.4","1.3","1.1"
"a. Marine fishing","%","1.3","1.2","1.2","1.1","0.9"
"b. Inland fishing","%","0.1","0.1","0.2","0.2","0.2"
"2 Contribution to GDP(1) at Constatnt Prices (2010)","%","1.3","1.3","1.2","1.2","1.0"
"a. Marine fishing","%","1.2","1.1","1.0","1.0","0.8"
"b. Inland fishing","%","0.2","0.2","0.2","0.2","0.2"
"Growth Rate of Fisheries Contribution to GDP (at Current Market","","","","","",""
"3
Prices)","%","7.0","2.4","0.9","9.9","-15.7"
"a. Marine fishing","%","8.4","-0.1","-4.1","11.4","-20.3"
"b. Inland fishing","%","-6.5","30.0","43.9","0.9","13.7"
"Growth Rate of Fisheries Contribution to GDP (at Constant Prices-","","","","","",""
"4
2010)","%","1.2","-0.5","0.2","-4.3","-16.6"
"a. Marine fishing","%","0.7","-2.0","-0.8","-5.5","-21.7"
"b. Inland fishing","%","9.9","10.7","7.2","3.0","12.7"
"5  Per capita fish production","Kg/year","25.0","24.8","24.3","23.2","19.6"
"a. Marine fishing","Kg/year","21.6","21.0","20.3","19.1","14.9"
"b. Inland fishing","Kg/year","3.5","3.8","4.0","4.1","4.6"
"7 Percapita fish consumption (All Sectors) (2)","g/day","47.5","47.1","46.0","45.4","41.4"
"8 Percapita fish consumption (All Sectors) (2)","Kg/year","17.3","17.2","16.8","16.6","15.1"
"9 Per capita Fish Consumption (Household Sector) (3)","Kg/year","11.8","na","na","na","na"
"a. Large fish (Marine)","Kg/year","4.5","na","na","na","na"
"b. Small fish (Marine)","Kg/year","4.5","na","na","na","na"
"c. Inland fish","Kg/year","2.3","na","na","na","na"
"d. Other fish","Kg/year","0.5","na","na","na","na"
"10
Per capita  Consumption of Perpared Fish (Household Sector) (3)","","","","","",""
"a. Canned fish","Kg/year","1.4","na","na","na","na"
"b.  Dried fish","Kg/year","3.6","na","na","na","na"
"11
Fish Contribution to Animal Nutrition Intake (4)","","","","","",""
"a. Calorie Intake","%","28.9","26.3","20.6","34.5","34.7"
"b. Protein Intake","%","50","45","40.0","50.0","52.4"
"c. Fat Intake","%","25.5","15.1","13.3","22.2","20.0"
"12
Household Expenditure Contribution to Food Basket  (3)","","","","","",""
"a. Fish","%","8.4","na","na","na","na"
"-  Marine","%","7.4","na","na","na","na"
"-  Inland","%","1.0","na","na","na","na"
"c. Canned fish","%","1.1","na","na","na","na"
"b. Dried fish","%","4.0","na","na","na","na"
"-  Marine","%","4.0","na","na","na","na"
"-  Inland","%","0.1","na","na","na","na"
"13 Contribution to National Export Earnings","%","1.8","2.3","2.5","1.5","2.2"
"14 Contribution of Tuna to Total Exports of F & FP in Volume (5)","%","50.4","53.5","48.0","49.5","42.2"
"15 Fishermen per Household (Marine fishing)","Number","1.2","1.2","1.2","1.2","1.2"
"16 Fishermen per Household (Inland fishing)","Number","1.1","1.1","1.1","1.1","1.1"
"","(1) National Accounts of Sri Lanka - Revised base year (2010) estimates (by production, income and expenditure approaches)","","","","",""
