"Table 4.10 : Inland Fish Catch Estimates by Major Species","","","","","","","","","","","",""
"Species","2007","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Tilapia","22,310","28,250","32,000","39,590","39,070","46,610","40,504","43,836","50,065","51,810","54,410","57,810"
"Carps/Mirigal","1,650","3,740","3,680","3,570","3,450","3,920","2,847","3,363","4,250","3,630","4,750","7,220"
"Catla/Rohu","6,320","9,760","11,260","12,460","8,980","11,020","9,117","7,772","8,435","9,115","9,690","9,935"
"Hiri Kanaya","1,140","2,620","1,940","670","590","580","358","230","330","300","235","200"
"Lula","1,820","1,930","630","1,770","2,040","2,230","1,582","1,849","2,765","1,645","1,950","2,160"
"Cultured Shrimps","3,580","3,480","4,150","3,310","4,430","5,150","7,090","6,030","4,630","8,180","6,400","7,360"
"Freshwater prawns","200","240","260","290","540","460","374","705","890","1,340","1,195","1,165"
"Cultured Milk fish & Sea","","","","","","","","","","","",""
"","50","30","100","130","90","70","78","174","290","515","310","275"
"bass","","","","","","","","","","","",""
"Sea cucumber","","","","","","","","","7","200","280","340"
"Oyster and crabs","","","30","32","40","38","53","72","110","185","120","60"
"Lobster","","","","","","","","","8","20","10","5"
"Other wild fish","1,310","2,360","5,510","7,128","7,680","5,672","5,297","9,899","10,090","10,750","10,990","15,280"
"Total","38,380","52,410","59,560","68,950","66,910","75,750","67,300","73,930","81,870","87,690","90,340","101,810"
