"","Table 5.1:  Stocking of Fish Fingerlings","","","","","","","","",""
"Type of Water body","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Major Reservoirs","","","","","","","","","",""
"No. of Tanks","33","28","36","34","32","38","38","41","39","41"
"Area (ha)","61,720","50,945","65,144","60,544","63,298","70,834","75,599","78,132","73,851","79,635"
"Stocks (Mn)","8.2","6.2","9.1","9.2","11.7","17.0","22.8","30.1","21.1","24.3"
"Beneficiaries/ Fishermen","6,785","5,562","7,276","6,870","7,214","7,540","8,312","8,450","8,220","8,798"
"Medium Reservoirs","","","","","","","","","",""
"No. of Tanks","48","41","71","65","66","71","70","78","77","77"
"Area (ha)","21,041","17,113","25,997","22,673","24,485","25,367","26,327","28,355","28,021","27,832"
"Stocks (Mn)","9.0","8.0","12.8","12.7","16.3","20.0","23.5","31.2","26.4","26.7"
"Beneficiaries/ Fishermen","3,349","3,038","4,504","4,120","4,326","4,550","5,169","5,280","5,200","5,045"
"Minor Reservoirs","","","","","","","","","",""
"No. of Tanks","318","232","264","190","257","260","270","288","230","315"
"Area (ha)","13,890","14,605","16,331","11,753","15,426","15,575","16,140","17,900","14,900","19,400"
"Stocks (Mn)","17.9","14.6","15.6","11.0","15.9","19.0","30.1","32.8","23.4","29.8"
"Beneficiaries/ Fishermen","5,354","3,920","4,986","3,588","4,450","4,640","7,041","7,400","5,500","7,263"
"Seasonal Tanks","","","","","","","","","",""
"No. of Tanks","535","620","871","256","453","303","97","491","819","538"
"Area (ha)","5,885","8,060","11,323","3,328","5,889","4,550","1,165","6,350","10,750","7,100"
"Stocks (Mn)","7.6","6.6","9.2","3.3","7.1","6.0","1.8","9.1","12.0","9.3"
"Beneficiaries/ Fishermen","5,571","7,440","9,580","2,815","4,980","3,325","1,150","6,000","10,000","7,000"
"Ponds and Other","","","","","","","","","",""
"No. of Ponds","481","686","797","782","654","545","600","1,170","850","504"
"Area (ha)","24","34","40","39","33","28","31","60","45","27"
"Stocks (Mn)","2.0","1.3","1.8","2.8","2.0","2.0","1.4","3.5","4.6","2.4"
"Beneficiaries/ Fishermen","481","686","797","782","654","545","600","1,170","850","504"
"Other","","","","","","","","","",""
"Stocks (Mn)","0.7","3.4","-","0.7","0.7","2.0","1.5","3.7","1.0","2.1"
"Total","","","","","","","","","",""
"No. of Tanks/Ponds","1,415","1,607","2,039","1,327","1,462","1,217","1,075","2,068","2,015","1,475"
"Area (ha)","102,560","90,757","118,835","98,337","109,131","116,354","119,262","130,797","127,567","133,994"
"Stocks (Mn)","45","37","48","39","53","66","81","110","88","95"
"Beneficiaries/ Fishermen","21,540","20,646","27,143","18,175","21,624","20,600","22,272","28,300","29,770","28,610"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","",""
