"","Table 5.6:  Production of Fish Fingerlings by species in Aquaculture Centers of NAQDA, 2020 (Mn)","","","","","","",""
"Aquaculture Development","","","","Common/Jian","","","",""
"","Tilapia","Rohu","Catla","","","Mrigal","Other(1)","Total"
"Centre","","","","Carp","","","",""
"Inginiyagala","1.84","0.72","0.89","","0.12","1.38","-","4.95"
"Dambulla","3.60","1.44","1.72","","0.56","0.42","1.28","9.02"
"Udawalawe (Carp)","0.22","0.59","0.90","","0.19","0.51","-","2.41"
"Udawalawe (Tilapia)","1.96","-","-","","-","-","-","1.96"
"Udawalawe new","0.44","0.98","0.33","","0.03","0.09","-","1.87"
"Nuwara-Eliya","-","-","-","","0.17","-","-","0.17"
"Kala wewa","1.72","0.54","0.67","","0.84","0.01","-","3.78"
"Iranamadu","2.92","0.34","0.50","","-","-","-","3.76"
"Muruthawela","1.26","0.17","0.33","","0.43","0.45","-","2.64"
"Sewanapitiya","2.68","0.90","0.77","","0.86","0.36","0.23","5.80"
"Sub - Total","16.64","5.68","6.11","","3.20","3.22","1.51","36.36"
"Other","","","","","","","",""
"Community bassed Mini- Hatcheries 7.48","","0.98","1.41","","0.59","1.61","-","12.07"
"Water based Mini hatcheries","0.30","0.12","-","","-","-","-","0.42"
"Private Ponds","9.43","1.57","2.40","","0.85","0.89","-","15.14"
"Pens & Cages","13.95","2.69","10.47","","1.89","2.79","0.11","31.90"
"Sub - Total","31.16","5.36","14.28","","3.33","5.29","0.11","59.53"
"Total","47.80","11.04","20.39","","6.53","8.51","1.62","95.89"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","",""
"(1) Other carp varieties, Hirikanaya, etc.","","","","","","","",""
