"3.2 Annual Average Inflation Rate","%","2020","4.6"
"4.  National Accounts(3)","","",""
"4.1 Gross Domestic Product (GDP) - At Current Market Price","Rs.Mn","2020","14,115,701"
"4.2 GDP Growth Rate - At Current Market Price","%","2020","1.0"
"4.3  Per Capita GDP - At Current Market Price","Rs","2020","683,106"
"4.4  Per Capita GDP - At Current Market Price","US$","2020","3,682"
"4.5 Growth Rate of Per Capita GDP - At Current Market Price (Rs.)","%","2020","-0.8"
"4.5 Growth Rate of Per Capita GDP - At Current Market Price (US$.)","%","2020","-4.4"
"4.6 Gross Domestic Product (GDP) - At Constant (2010) Price","Rs.Mn","2020","9,530,606"
"4.7 GDP Growth Rate - At Constant (2010) Price","%","2020","-3.6"
"4.8 Agriculture Growth Rate - At Constant (2010) Price","%","2020","10.6"
"4.9 Industry Growth Rate - At Constant (2010) Price","%","2020","-4.5"
"4.10 Services Growth Rate - At Constant (2010) Price","%","2020","2.4"
