"Table 1.9 : Fisher Community Organizations  - 2020","","","","","",""
"","","No. of fisheries Organizations","","","No. of Members",""
"District","","","","","",""
"","Coastal","Inland","Total","Coastal","Inland","Total"
"1  Colombo","","","23","","","1,572"
"","20","3","","1,422","150",""
"2 Gampaha","72","17","89","6,106","738","6,844"
"3  Kalutara","40","13","53","3,967","658","4,625"
"4  Kandy","-","3","3","-","160","160"
"5  Matale","-","14","14","-","1,060","1,060"
"6  Nuwara Eliya","-","8","8","-","265","265"
"7  Galle","47","5","52","3,244","136","3,380"
"8  Matara","79","10","89","5,515","192","5,707"
"9  Hambantota","46","51","97","4,806","1,983","6,789"
"10  Jaffna","92","-","92","9,580","-","9,580"
"11  Mannar","71","14","85","6,719","692","7,411"
"12 Vavuniya","-","18","18","-","636","636"
"13  Mullaitivu","31","12","43","3,452","724","4,176"
"14  Kilinochchi","","","31","","","1,996"
"","24","7","","1,645","351",""
"15  Batticaloa","145","23","168","13,714","1,501","15,215"
"16  Ampara","74","31","105","8,456","1,767","10,223"
"17  Trincomalee","76","22","98","5,181","507","5,688"
"18  Kurunegala","-","25","25","-","826","826"
"19  Puttalam","183","27","210","10,514","934","11,448"
"20  Anuradhapura","-","34","34","-","2,850","2,850"
"21  Polonnaruwa","-","35","35","-","3,700","3,700"
"22  Badulla","-","14","14","-","446","446"
"23  Monaragala","-","43","43","-","409","409"
"24  Ratnapura","-","12","12","-","725","725"
"25  Kegalle","-","4","4","-","140","140"
"Total","1,000","445","1,445","84,321","21,550","105,871"
