"","Table  7.7  Wholesale Prices of Local Dried Fish at Pettah (Rs/Kg) --2020","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","918.11","918.20","","819.52","467.22","","","711.67","370.00"
"February","914.50","938.75","1,121.25","807.08","461.67","1,077.00","","702.50","342.50"
"March","910.20","958.33","1,100.00","804.33","475.28","1,100.00","","726.67","347.50"
"April","","1,086.67","","835.00","516.67","","","750.00","316.33"
"May","931.56","1,125.00","","","556.67","","","698.25","298.25"
"June","","1,025.00","","","569.24","","","735.00",""
"July","925.00","1,100.00","1,275.20","801.92","618.13","1,150.00","","792.92","340.00"
"August","912.00","","","866.67","478.33","","","801.00","340.00"
"September","970.00","959.33","1,200.00","941.67","424.76","1,075.00","","719.31","312.50"
"October","950.00","969.58","1,200.00","927.50","446.43","1,050.00","","793.65","303.33"
"November","900.00","1,038.33","1,275.00","981.25","472.50","","","857.50","318.20"
"December","908.00","1,125.00","1,304.33","1,053.00","487.00","","","870.00","395.33"
"Average","924.94","1,022.20","1,210.83","883.79","497.83","1,090.40","","763.21","334.90"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2020","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","505.33","924.00","1,278.25","781.94","562.00","886.67","","",""
"February","500.63","955.00","1,250.00","771.25","","872.92","","",""
"March","498.67","905.00","1,250.00","799.72","","880.00","","",""
"April","560.00","1,004.00","1,200.00","833.33","","950.00","","",""
"May","520.00","1,001.29","","826.67","548.00","905.00","","",""
"June","443.96","996.67","","856.25","","922.50","","",""
"July","445.83","945.83","1,200.00","872.50","486.26","915.42","","",""
"August","439.17","891.46","","816.67","475.29","915.00","","",""
"September","433.67","830.95","1,300.00","854.88","525.00","845.00","","",""
"October","441.00","844.86","1,238.89","852.80","","906.33","","",""
"November","515.00","916.67","1,290.00","897.50","500.00","915.00","","",""
"December","548.00","1,012.00","1,198.32","910.00","478.67","990.67","","",""
"Average","487.61","935.64","1,245.05","839.46","510.75","908.71","","",""
"Source: Statistics Unit, Ministry of Fisheries","","","","52","","","","",""
