"","Table 3.4:  Inland Fishing Crafts*  by District","","","","","","","","","","","","","",""
"","District","2009","","2010","","2012","","2014","2015","","2016","2017","2018","2019","2020"
"1","Colombo","60","","70","","10","","46","46","","46","45","40","30","35"
"2","Gampaha","20","","20","","10","","10","10","","39","40","35","30","30"
"3","Kalutara","30","","30","","60","","38","57","","68","75","71","75","80"
"4","Kandy","90","","110","","80","","118","118","","145","145","125","125","125"
"5","Matale","350","","360","","290","","289","289","","323","330","330","380","380"
"6","Nuwara Eliya","20","","20","","100","","98","98","","110","115","115","120","110"
"7","Galle","40","","40","","40","","40","40","","45","55","51","80","20"
"8","Matara","40","","40","","90","","58","58","","120","120","110","120","140"
"9","Hambantota","540","","560","","700","","696","746","","735","740","740","830","820"
"10","Jaffna **","","-","","-","","-","-","","-","-","","","-","30"
"11","Mannar","30","","50","","190","","271","271","","331","350","363","360","370"
"12","Vavunia","40","","80","","140","","232","232","","307","295","280","260","260"
"13","Mullaitivu","10","","30","","230","","217","217","","463","425","415","380","380"
"14","Kilinochchi","10","","20","","190","","265","265","","259","245","240","240","230"
"15","Batticaloa","340","","380","","480","","495","495","","574","580","636","640","620"
"16","Ampara","610","","620","","870","","1,248","1,248","","1,467","1,450","1,436","1,350","1,310"
"17","Trincomalee","380","","390","","350","","359","359","","402","445","445","440","460"
"18","Kurunegala","610","","670","","740","","732","732","","673","645","645","630","610"
"19","Puttalam","220","","230","","340","","223","273","","265","265","255","255","300"
"20","Anuradhapura","1,780","","1,790","","1,410","","1,103","1,153","","1,321","1,365","1,376","1,510","1,560"
"21","Polonnaruwa","1,410","","1,490","","1,070","","1,048","1,073","","1,013","1,040","1,105","1,010","1,070"
"22","Badulla","380","","390","","360","","351","371","","366","385","391","390","330"
"23","Monaragala","370","","410","","440","","454","482","","418","410","410","415","410"
"24","Ratnapura","180","","190","","170","","145","145","","171","175","176","190","190"
"25","Kegalle **","","-","","-","","-","-","","-","-","5","5","10","10"
"","Total","7,560","","7,990","","8,360","","8,536","8,778","","9,661","9,745","9,795","9,870","9,880"
"Source :  Statistics Unit, Ministry of Fisheries and  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","","",""
