"","Table 4.3:  National Fish Production** by Fishing Sub-sectors and Administrative Districts (Mt) 2018 - 2020","","","","","","","",""
"","","2018","","","2019","","","2020",""
"District","","","","","","","","",""
"","Marine","Inland","Total","Marine","Inland","Total","Marine","Inland","Total"
"1 Colombo","4,650","90","4,740","3,270","150","3,420","1,460","360","1,820"
"2 Gampaha","30,370","1,000","31,370","27,550","990","28,540","24,030","1,710","25,740"
"3 Kalutara","41,750","2,070","43,820","44,380","2,110","46,490","42,300","2,660","44,960"
"4 Kandy","-","690","690","-","1,080","1,080","-","940","940"
"5 Matale","-","1,230","1,230","-","1,460","1,460","-","1,550","1,550"
"6 Nuwara eliya","-","550","550","-","590","590","-","540","540"
"7 Galle","54,100","1,000","55,100","52,950","740","53,690","40,460","720","41,180"
"8 Matara","29,710","570","30,280","23,260","840","24,100","24,260","1,040","25,300"
"9 Hambantota","64,230","8,180","72,410","57,500","7,980","65,480","46,100","5,870","51,970"
"10  Jaffna","41,070","140","41,210","44,250","140","44,390","32,450","200","32,650"
"11  Mannar","23,250","630","23,880","25,270","1,315","26,585","19,320","1,000","20,320"
"12  Vavunia","-","400","400","-","490","490","-","700","700"
"13  Mullaitivu","3,110","1,230","4,340","5,120","1,140","6,260","7,830","840","8,670"
"14  Kilinochchi","11,190","1,090","12,280","11,670","925","12,595","6,910","720","7,630"
"15  Batticaloa","17,850","2,700","20,550","18,300","2,790","21,090","12,600","1,830","14,430"
"16  Ampara","18,450","14,110","32,560","12,580","12,480","25,060","8,910","19,060","27,970"
"17  Trincomalee","34,300","6,490","40,790","28,800","4,850","33,650","20,810","4,380","25,190"
"18  Kurunegala","-","3,870","3,870","-","4,410","4,410","-","6,450","6,450"
"19  Puttalam","65,340","8,660","74,000","60,590","6,810","67,400","39,490","8,390","47,880"
"20  Anuradhapura","-","12,940","12,940","-","17,840","17,840","-","21,850","21,850"
"21  Polonnaruwa","-","11,600","11,600","-","9,960","9,960","-","9,510","9,510"
"22  Badulla","-","1,470","1,470","-","2,120","2,120","-","2,680","2,680"
"23  Monaragala","-","5,240","5,240","-","7,550","7,550","-","7,440","7,440"
"24  Ratnapura","-","1,720","1,720","-","1,550","1,550","-","1,330","1,330"
"25  Kegalle","-","20","20","-","30","30","-","40","40"
"Total","439,370","87,690","527,060","415,490","90,340","505,830","326,930","101,810","428,740"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
