"Total","98,444","118,776","120,414","151,800","162,470","218,550","218,830","220,870","218,130","224,610","225,020"
"Source: Statistics Unit - Ministry of Fisheries","","","","","","","","","","",""
"","Estimated Based on the annual reports submitted by Fisheries Inspectors of DFAR for their FI Divisions","","","","","","","","","",""
"","Table 1.6: Fishing Households by District - Marine Fisheries","","","","","","","","","",""
"Fisheries District","1989","1996","1999","2004","2008","2012","2016","2017","2018","2019","2020"
"1 Negombo","6,396","8,158","11,210","12,900","11,360","9,180","9,050","8,770","8,310","8,450","9,060"
"2 Colombo","1,451","1,878","2,412","2,300","1,520","1,630","1,880","1,780","1,790","1,960","2,050"
"3 Kalutara","2,366","3,334","3,602","3,500","4,230","5,910","4,790","4,650","4,730","3,990","4,060"
"4 Galle","2,871","4,398","5,253","6,700","5,510","6,720","9,430","9,070","9,200","9,190","8,920"
"5 Matara","3,341","4,263","4,796","6,900","7,280","11,310","12,250","11,330","11,620","11,950","12,040"
"6 Tangalle","2,712","4,068","5,385","6,100","5,720","10,460","9,390","8,880","8,920","9,160","9,070"
"7 Kalmunai","9,328","12,342","13,265","15,100","16,450","22,940","18,740","18,300","15,140","14,500","14,560"
"8 Batticaloa","12,044","12,420","13,762","16,700","19,870","25,780","26,980","26,390","26,670","27,290","27,480"
"9 Trincomalee","5,675","6,681","8,123","12,300","17,420","32,660","31,270","31,280","30,680","29,220","27,640"
"10 Mullativu","2,798","","864","3,100","1,500","2,130","4,730","4,230","4,890","6,450","6,630"
"11 Kilinochchi","1,047","25,000","400","3,400","2,100","2,970","4,120","4,240","3,890","4,070","4,140"
"12 Jaffna","22,568","","6,922","16,100","17,100","19,480","21,800","21,290","22,460","22,940","23,260"
"13 Mannar","5,127","","4,175","7,300","10,230","15,440","15,030","14,640","14,760","16,850","17,050"
"14 Puttalam","3,759","7,907","10,124","11,400","12,680","12,890","10,790","10,760","10,680","11,130","11,250"
"15 Chilaw","6,325","6,684","8,264","8,800","8,970","8,980","8,440","8,040","8,140","8,240","8,360"
"Total","87,808","97,133","98,557","132,600","141,940","188,480","188,690","183,650","181,880","185,390","185,570"
