"Table 5.4.1:  Production of Fish Fingerlings (Mn)","","","","","","","","",""
"Source of Production","2010","2013","2014","2015","2016","2017","2018","2019","2020"
"Aquaculture Centres","","","","","","","","",""
"Iginiyagala","6.49","8.90","7.36","10.34","10.40","11.04","9.86","3.67","4.95"
"Dambulla","2.29","9.06","9.62","13.36","7.50","6.60","9.30","6.54","9.01"
"Udawalawe","4.50","14.32","11.95","12.28","13.41","10.89","15.55","7.80","6.22"
"Carp centre","3.36","6.17","3.77","4.08","5.96","4.70","6.50","3.35","2.40"
"Thilapia centre","1.14","8.15","8.18","8.20","7.45","6.19","8.91","3.18","1.96"
"Udawalawe (Carp)-New","","","","","","","0.14","1.27","1.86"
"Nuwara - Eliya","0.20","0.10","0.01","0.24","0.33","0.16","0.18","0.22","0.17"
"Kalawewa","0.26","0.87","1.39","1.84","3.93","5.22","7.01","3.44","3.78"
"Polonnaruwa","-","1.68","0.63","1.35","-","-","-","-",""
"Iranamadu","-","-","-","0.38","0.64","0.94","2.01","3.92","3.76"
"Muruthawela","-","-","-","-","1.42","3.21","4.29","2.51","2.64"
"Sewanapitiya","","","","","","","","1.08","5.81"
"Sub-Total","13.74","34.93","30.96","39.79","37.63","38.06","48.20","29.18","36.34"
"Other","","","","","","","","",""
"Community based Mini -","","","","","","","","",""
"","8.03","5.76","4.27","7.24","10.34","13.39","16.74","15.03","12.07"
"Hatcheries","","","","","","","","",""
"Water bassed Mini-","","","","","","","","",""
"","","","","","","","0.46","0.04","0.42"
"Hatcheries","","","","","","","","",""
"Private  Ponds","11.70","8.36","4.75","5.84","4.00","3.30","7.12","14.26","15.14"
"Pens & Cages","1.40","0.26","0.96","2.40","18.12","28.16","38.79","30.09","31.91"
"Sub-Total","21.13","14.38","9.98","15.48","32.46","44.85","63.11","59.42","59.54"
"Total","34.87","49.31","40.94","55.27","70.09","82.91","111.31","88.60","95.88"
