"","Table 5.4:  Production of Fish Fingerlings by Species and Aquaculture Centre  (Mn) - 2016","","","","","","","","","","",""
"","","","","Common","Big Head","Silver","","Grass","","","",""
"Aquaculture Centre","Tilapia","Rohu","Catla","","","","Mirigal","","Hirikanaya","Other","","Total"
"","","","","Carp","Carp","Carp","","Carp","","","",""
"Iginiyagala","4.07","0.62","1.39","0.04","0.01","-","3.87","0.03","0.01","","-","10.04"
"Dambulla","2.90","2.00","1.53","0.79","0.02","0.11","0.02","0.13","-","","-","7.50"
"Udawalawe","","","","","","","","","","","",""
"Carp centre","0.61","0.36","2.54","0.37","0.02","","1.89","-","1.70","","-","5.96"
"Thilapia centre","7.45","-","-","-","-","","-","-","-","","-","7.45"
"Nuwara - Eliya","-","-","-","0.33","-","","-","-","-","","-","0.33"
"Kalawewa","1.40","0.40","0.64","1.00","-","0.09","0.41","-","-","","-","3.93"
"Iranamadu","0.64","-","-","-","-","-","-","-","-","","-","0.64"
"Muruthawela","1.08","0.03","-","0.12","-","-","0.17","0.02","-","","-","1.42"
"Sub-Total","18.15","3.41","6.1","2.65","0.05","0.02","6.35","0.18","0.18","","-","37.27"
"Community based Mini -","","","","","","","","","","","",""
"","5.40","0.87","1.60","0.25","","","2.22","","","","-",""
"Hatcheries","","","","","","","","","","","",""
"","","","","","","","","","","","","10.34"
"Private  Ponds","0.68","1.19","0.36","0.81","","0.03","0.88","","0.05","","-",""
"","","","","","","","","","","","","4.00"
"Pens & Cages","5.89","1.52","3.65","2.82","0.64","0.39","3.13","0.08","-","","-",""
"","","","","","","","","","","","","18.12"
"Total","","","","","","","","","","","-",""
"","30.12","6.99","11.71","6.53","0.69","0.62","12.58","0.26","0.23","","","68.79"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","",""
