"Table 1.8 : Active Fishers in Inland Fisheries and Aquaculture Sector - 2016","","","","","","","","",""
"","","Inland Fisheries","","","Aquaculture","","","Total",""
"District","","","","","","","","",""
"","Male","Female","Total","Male","Female","Total","Male","Female","Total"
"1 Colombo","124","2","126","155","11","166","279","13","292"
"2 Gampaha","240","-","240","608","112","720","848","112","960"
"3 Kalutara","402","20","422","523","50","573","925","70","995"
"4 Kandy","498","-","498","246","6","252","744","6","750"
"5 Matale","1,589","8","1,597","350","18","368","1,939","26","1,965"
"6 Nuwara Eliya","1,564","101","1,665","245","6","251","1,809","107","1,916"
"7 Galle","1,150","115","1,265","165","5","170","1,315","120","1,435"
"8 Matara","263","-","263","8","-","8","271","-","271"
"9 Hambantota","1,987","11","1,998","2,226","82","2,308","4,213","93","4,306"
"10 Jaffna","-","-","-","-","-","-","-","-","-"
"11 Mannar","2,311","110","2,421","211","22","233","2,522","132","2,654"
"12 Vavuniya","1,642","11","1,653","317","23","340","1,959","34","1,993"
"13 Mullaitivu","856","-","856","3","-","3","859","-","859"
"14 Kilinochchi","687","2","689","263","58","321","950","60","1,010"
"15 Batticaloa","1,223","110","1,333","35","10","45","1,258","120","1,378"
"16 Ampara","3,437","2","3,439","585","92","677","4,022","94","4,116"
"17 Trincomalee","3,450","590","4,040","1,710","265","1,975","5,160","855","6,015"
"18 Kurunegala","1,120","-","1,120","1,202","10","1,212","2,322","10","2,332"
"19 Puttalam","2,177","11","2,188","2,143","162","2,305","4,320","173","4,493"
"20 Anuradhapura","4,873","123","4,996","1,395","107","1,502","6,268","230","6,498"
"21 Polonnaruwa","3,168","110","3,278","1,346","214","1,560","4,514","324","4,838"
"22 Badulla","1,190","38","1,228","337","18","355","1,527","56","1,583"
"23 Monaragala","1,370","3","1,373","1,404","46","1,450","2,774","49","2,823"
"24 Ratnapura","491","11","502","362","15","377","853","26","879"
"25 Kegalle","40","-","40","111","8","119","151","8","159"
"Total","35,852","1,378","37,230","15,950","1,340","17,290","51,802","2,718","54,520"
