"Table 5.1:  Stocking of Fish Fingerlings","","","","","","",""
"Type of Water body","2010","2011","2012","2013","2014","2015","2016"
"Major Reservoirs","","","","","","",""
"No. of Tanks","32","33","28","36","34","32","38"
"Area (ha)","64,830","61,720","50,945","65,144","60,544","63,298","70834"
"Stocks (Mn)","6","8","6","9","9","12","17"
"Beneficiaries/ Fishermen","-","6,785","5,562","7,276","6,870","7,214","7,540"
"Medium Reservoirs","","","","","","",""
"No. of Tanks","63","48","41","71","65","66","71"
"Area (ha)","23,374","21,041","17,113","25,997","22,673","24,485","25367"
"Stocks (Mn)","10","9","8","13","13","16","20"
"Beneficiaries/ Fishermen","-","3,349","3,038","4,504","4,120","4,326","4,550"
"Minor Reservoirs","","","","","","",""
"No. of Tanks","293","318","232","264","190","257","260"
"Area (ha)","12,795","13,890","14,605","16,331","11,753","15,426","15,575"
"Stocks (Mn)","11","18","15","16","11","16","19"
"Beneficiaries/ Fishermen","-","5,354","3,920","4,986","3,588","4,450","4,640"
"Seasonal Tanks","","","","","","",""
"No. of Tanks","450","535","620","871","256","453","303"
"Area (ha)","4,675","5,885","8,060","11,323","3,328","5,889","4550"
"Stocks (Mn)","7","8","7","9","3","7","6"
"Beneficiaries/ Fishermen","-","5,571","7,440","9,580","2,815","4,980","3,325"
"Ponds and Other","","","","","","",""
"No. of Ponds","549","481","686","797","782","654","545"
"Area (ha)","193","169","34","40","39","33","28"
"Stocks (Mn)","1","2","1","2","3","2","2"
"Beneficiaries/ Fishermen","-","481","686","797","782","654","545"
"Total","","","","","","",""
"No. of Tanks/Ponds","1,387","1,415","1,607","2,039","1,327","1,462","1,217"
"Area (ha)","105,867","102,705","90,757","118,835","98,337","109,131","116,354"
"Stocks (Mn)","34","45","37","48","39","53","66"
"Beneficiaries/ Fishermen","-","21,540","20,646","27,143","18,175","21,624","20,600"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","",""
