"","Table 7.3: Monthly Average Wholesale Fish Prices at Main Fish Market in Colombo** -2015","","","","","","","","","","","","",""
"","2014","","","","","","2015","","","","","","","2015"
"Species","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","119","113.00","100.00","88.00","105.00","126.00","145.00","150.00","134.00","145.00","118.00","138.00","139.00","125.00"
"Hurulla","226","243.00","243.00","258.00","273.00","305.00","334.00","297.00","227.00","230.00","176.00","253.00","281.00","260.00"
"Balaya","309","311.00","298.00","327.00","347.00","402.00","364.00","295.00","280.00","269.00","260.00","297.00","323.00","314.00"
"Kelawalla","421","488.00","449.00","448.00","490.00","565.00","526.00","507.00","488.00","455.00","416.00","437.00","469.00","478.00"
"Thora","982","917.00","968.00","803.00","769.00","889.00","1300.00","1300.00","1350.00","1026.00","913.00","1064.00","1128.00","1035.00"
"Paraw","466","465.00","442.00","413.00","433.00","535.00","557.00","566.00","600.00","564.00","424.00","492.00","502.00","499.00"
"Mora","415","414.00","407.00","428.00","395.00","442.00","427.00","486.00","436.00","434.00","427.00","436.00","440.00","431.00"
"Thalapath","573","614.00","579.00","573.00","566.00","606.00","617.00","630.00","648.00","628.00","562.00","615.00","577.00","601.00"
"Kumbala","337","304.00","301.00","289.00","342.00","431.00","470.00","437.00","428.00","412.00","301.00","300.00","304.00","360.00"
"Mullet","366","353.00","361.00","359.00","318.00","312.00","380.00","398.00","383.00","377.00","332.00","350.00","403.00","360.00"
"Prawns","779","781.00","716.00","708.00","758.00","820.00","723.00","639.00","748.00","736.00","740.00","678.00","620.00","722.00"
"Tilapia (M)","237","265.00","265.00","253.00","259.00","276.00","281.00","279.00","262.00","261.00","253.00","272.00","289.00","268.00"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","","","",""
