"","Estimated Based on the annual reports submitted by Fisheries Inspectors of DFAR for their FI Divisions","","","","","","","","","",""
"Table 1.6: Fishing Households by District (Marine Fisheries)","","","","","","","","","","",""
"Fisheries District","1989","1996","1999","2004","2008","2011","2012","2013","2014","2015","2016"
"1 Negombo","6,396","8,158","11,210","12,900","11,360","9,250","9,180","9,290","9,380","9,340","9,050"
"2 Colombo","1,451","1,878","2,412","2,300","1,520","1,650","1,630","1,900","1,910","1,910","1,880"
"3 Kalutara","2,366","3,334","3,602","3,500","4,230","5,610","5,910","5,990","6,050","6,060","4,790"
"4 Galle","2,871","4,398","5,253","6,700","5,510","6,220","6,720","7,210","7,240","7,250","9,430"
"5 Matara","3,341","4,263","4,796","6,900","7,280","10,980","11,310","11,690","11,760","11,770","12,250"
"6 Tangalle","2,712","4,068","5,385","6,100","5,720","10,130","10,460","10,690","10,710","10,720","9,390"
"7 Kalmunai","9,328","12,342","13,265","15,100","16,450","22,740","22,940","22,890","22,920","22,940","18,740"
"8 Batticaloa","12,044","12,420","13,762","16,700","19,870","26,320","25,780","26,630","25,260","25,280","26,980"
"9 Trincomalee","5,675","6,681","8,123","12,300","17,420","32,470","32,660","32,420","32,570","32,600","31,270"
"10 Mullativu","2,798","","864","3,100","1,500","1,600","2,130","2,390","2,520","2,520","4,730"
"11 Kilinochchi","1,047","25,000","400","3,400","2,100","2,700","2,970","3,120","3,660","3,660","4,120"
"12 Jaffna","22,568","","6,922","16,100","17,100","19,240","19,480","19,020","20,190","20,210","21,800"
"13 Mannar","5,127","","4,175","7,300","10,230","15,030","15,440","15,210","14,980","14,990","15,030"
"14 Puttalam","3,759","7,907","10,124","11,400","12,680","13,820","12,890","12,240","12,370","12,380","10,790"
"15 Chilaw","6,325","6,684","8,264","8,800","8,970","9,580","8,980","9,520","9,260","9,330","8,440"
"Total","87,808","97,133","98,557","132,600","141,940","187,340","188,480","190,210","190,780","190,960","188,690"
