"","","","","","2016","","","",""
"","District","","","Tanks","","","","",""
"","","","","","","","","","Landing"
"","","","","","","","","Area (Ha)",""
"","","","","","","","","","Sites"
"","","Major","","Medium","Minor","Total","","",""
"1","Colombo","","-","-","12","","12","117","12"
"2","Gampaha","","-","-","50","","50","94","50"
"3","Kalutara","","1","-","24","","25","1,402","30"
"4","Kandy","","1","-","59","","60","2,718","24"
"5","Matale","","1","4","59","","64","3,206","13"
"6","Nuwara Eliya","","1","3","31","","35","4,256","12"
"7","Galle","","-","-","4","","4","19","4"
"8","Matara","","-","-","22","","22","423","21"
"9","Hambantota","","3","6","85","","94","9,685","96"
"10","Jaffna","","-","-","-","","-","-","-"
"11","Mannar","","1","2","39","","42","6,360","43"
"12","Vavunia","","1","3","33","","37","3,166","37"
"13","Mulathivu","","2","5","17","","24","5,503","24"
"14","Killinochchi","","2","2","22","","26","5,599","26"
"15","Batticaloa","","2","5","53","","60","5,613","62"
"16","Ampara","","6","13","120","","139","23,024","146"
"17","Trincomalee","","2","4","94","","100","8,709","102"
"18","Kurunegala","","2","9","38","","49","4,995","56"
"19","Puttalam","","-","4","43","","47","4,933","51"
"20","Anuradhapura","","10","12","100","","122","24,592","178"
"21","Polonnaruwa","","5","3","117","","125","19,872","141"
"22","Badulla","","1","5","44","","50","4,951","51"
"23","Monaragala","","1","6","86","","93","5,738","104"
"24","Ratnapura","","1","2","41","","44","4,934","47"
"25","Kegalle","","-","-","19","","19","21","19"
"Total","","","43","88","1,210","","1,343","149,930","1349"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","",""
