"","Table 1.9 : Fisher Community Organizations  - 2016","","","","",""
"","","No. of fisheries Organizations","","","No. of Members",""
"District","","","","","",""
"","Coastal","Inland","Total","Coastal","Inland","Total"
"1  Colombo","","","22","","","1,397"
"","19","3","","1,301","96",""
"2 Gampaha","67","9","76","5,821","308","6,129"
"3  Kalutara","40","13","53","4,124","669","4,793"
"4  Kandy","-","3","3","-","268","268"
"5  Matale","-","13","13","-","618","618"
"6  Nuwara Eliya","-","2","2","-","75","75"
"7  Galle","40","3","43","3,305","72","3,377"
"8  Matara","48","7","55","4,650","98","4,748"
"9  Hambantota","42","43","85","5,537","1,571","7,108"
"10  Jaffna","65","-","65","11,451","-","11,451"
"11  Mannar","20","-","20","7,505","-","7,505"
"12 Vavuniya","-","9","9","-","254","254"
"13  Mullaitivu","30","-","30","3,452","-","3,452"
"14  Kilinochchi","","","21","","","1,812"
"","21","-","","1,812","-",""
"15  Batticaloa","137","18","155","14,041","1,158","15,199"
"16  Ampara","58","27","85","8,561","1,890","10,451"
"17  Trincomalee","52","22","74","5,405","825","6,230"
"18  Kurunegala","-","13","13","-","483","483"
"19  Puttalam","163","15","178","8,243","463","8,706"
"20  Anuradhapura","-","19","19","-","839","839"
"21  Polonnaruwa","-","18","18","-","850","850"
"22  Badulla","-","3","3","-","183","183"
"23  Monaragala","-","35","35","-","680","680"
"24  Ratnapura","-","9","9","-","725","725"
"25  Kegalle","-","2","2","-","30","30"
"Total","802","286","1,088","85,208","12,155","97,363"
"Source: National Fisheries Federation","","","","","",""
