"","Table 1.3 : Fishing Households and Active Fishers (Marine Sector)","","","","","",""
"","","Active Fishers","","","","",""
"","","","Fishing Household","Average Fishers per","","Average Persons",""
"Year","Fishing Households","(fishermen &","","","","",""
"","","","Population","HH","","per HH",""
"","","women)","","","","",""
"1982","56,320","68,900","292,200","","1.2","","5.2"
"2001","98,157","115,014","441,707","","1.2","","4.5"
"2005","137,300","160,300","641,700","","1.2","","4.7"
"2010","184,100","212,920","816,500","","1.2","","4.4"
"2011","187,340","215,430","820,580","","1.1","","4.4"
"2012","188,480","218,550","823,230","","1.2","","4.4"
"2013","190,210","219,400","824,680","","1.2","","4.3"
"2014","190,780","221,350","825,120","","1.2","","4.3"
"2015","190,960","221,560","830,560","","1.2","","4.3"
"2016","188,690","218,830","827,480","","1.2","","4.4"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","",""
