Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
     ,,,,,,,,,
Monthly Fish Production Statistics   ,,,,,,,,,
September 2019,,,,,,,,,
,,,,,,,,,
Table 1: Fish Production (Metric tons),,,,,,,,,
,,,,,,,,,
Fishing Sub-sector,,2015.0,2016.0,2017.0,2018.0,    2018    (Jan-Sep),  2019* (Jan-Sep),Change in 2019 compared to 2018 (%),Percentage share (%)
1,Off shore/Deep Sea,183870.0,182830.0,189720.0,190350.0,145730,132180,-9.298016880532492,196.9015343363623
2,Coastal,269020.0,274160.0,259720.0,249020.0,183030,180150,-1.5735125389280447,268.35989870400715
,Total Marine,452890.0,456990.0,449440.0,439370.0,328760,312330,-4.997566613943302,465.26143304036947
3,Inland Capture,57060.0,58410.0,68500.0,71020.0,45700,54310,18.840262582056894,80.90272605392522
4,Inland Culture,3150.0,9490.0,8740.14,8490.0,5830,7540,29.331046312178387,11.231938030686727
5,Shrimp Farms,7090.0,6030.0,4630.0,8180.0,5410,5280,-2.4029574861367835,7.865335915388052
,Total Inland,67300.0,73930.0,81870.14,87690.0,56940,67130,17.89603090972954,100
,Sri Lanka ,520190.0,530920.0,531310.14,527060.0,385700,379460,-1.617837697692507,565.2614330403694
Source: Statistics Unit of MFADRD,,,,,,,,,
