--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,,2024,% Change   compared to:2nd week of Jan.2024,, ,,,,,,,,
Sinhala Name,,Common Name,2nd week of Jan.,1st week of Jan.,2nd week of Jan.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),2483.33,2528.57,2071.43,-0.18078993264967957,-0.1658659944509993,, ,,,,, , ,
2,පරව් (ලොකු),Trevally (L),1400,1328.57,1157.14,-0.12903347207900212,-0.1734714285714285,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1300,1225,1214.29,-0.008742857142857172,-0.06593076923076926, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1116.67,1091.67,916.67,-0.16030485403098016,-0.17910394297330465,, ,, , , ,,,
5,තලපත්,Sail fish,1628.57,1933.33,1842.86,-0.046794908267083234,0.13158169436990733,,,,, ,,,,
6,බලයා,Skipjack tuna,771.43,950,600,-0.3684210526315789,-0.22222366254877302,,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1325,1405,1291.67,-0.08066192170818501,-0.02515471698113202, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,460.71,460.71,378.57,-0.17829003060493584,-0.17829003060493584,,,,,,,,,
9,මෝරා,Sharks,1000,1000,914.29,-0.08571000000000004,-0.08571000000000004,,, ,, , ,,,
10,හුරුල්ලා,Herrings,800,716.67,641.67,-0.10465067604336725,-0.19791250000000005,,,,,,,,,
11,කුම්බලා,Indian Mackerel,837.5,891.67,753.57,-0.15487792568999734,-0.10021492537313427,,,,,,,,,
12,කාරල්ලා,Pony fish,380,365,292.86,-0.1976438356164383,-0.22931578947368417,,,,,,,,,
13,කටුවල්ලා,Katuwalla,533.33,625,537.5,-0.14,0.007818798867492845,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,478.57,475,450,-0.05263157894736842,-0.059698685667718396,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1510.71,1500,1364.29,-0.09047333333333336,-0.09692131514321085,,,,,,,,,
16, කොප්පරා,Marlins,2071.43,2383.33,2128.57,-0.10689245719224773,0.027584808562201153,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),737.5,850,732.14,-0.13865882352941178,-0.00726779661016951,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,891.67,1033.33,807.14,-0.21889425449759511,-0.09479964560880144,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1380,1400,1285.71,-0.08163571428571426,-0.06832608695652172,,,,,,,,,
20,බෝල්ලා,Big eye scade,796.43,767.86,650,-0.15349152189201157,-0.18385796617405165,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1125,1140,957.14,-0.16040350877192983,-0.1492088888888889,, ,,, ,,,,
22,හබරලි,Needle fish,821.43,1020,950,-0.06862745098039216,0.15651972779177784,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1430,1316.67,1480,0.12404778722079178,0.03496503496503497,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1133.33,1371.43,1121.43,-0.1822914767797117,-0.010500030882443652,,, ,,,,,,
25,ලින්නා,Indian Scad(L),846.43,821.43,521.43,-0.36521675614477195,-0.38396559668253727,,, ,,,,,,
26,ලින්නා,Indian Scad(S),700,712.5,389.29,-0.45362807017543855,-0.44387142857142853,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,821.43,808.33,621.43,-0.2312174483193746,-0.24347783742984797,,,,,,,,,
28,සුද්දා,Threadfin  Bream,1033.33,1180,1033.33,-0.12429661016949159,0,,, ,,,,,, 
29,සූඩයා,White Sardinella,312.86,312.5,242.5,-0.224,-0.22489292335229819,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1414.29,1478.57,1500,0.014493733810370875,0.06060284665804046,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2057.14,2166.67,2125,-0.019232278104187563,0.03298754581603592,,,, ,,,,,
32,තිලාපියා,Tilapia (M),,400,,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
