"Fisheries Indicators","","","","",""
"Description","Unit","2021","2022","2023","2024"
"1 Contribution to GDP(1) at Current Market Prices","%","1.1","1.2","1.1","0.9"
"a. Marine fishing","%","0.9","1.0","0.9","0.8"
"b. Inland fishing","%","0.2","0.2","0.2","0.1"
"2 Contribution to GDP(1) at Constatnt Prices (2015)","%","1.0","1.0","1.1","1.0"
"a. Marine fishing","%","0.9","0.8","0.9","0.8"
"b. Inland fishing","%","0.2","0.2","0.2","0.2"
"Growth Rate of Fisheries Contribution to GDP (at Current Market","","","","",""
"3
Prices)","%","8.9","31.5","10.1","-13.9"
"a. Marine fishing","%","10.0","49.6","-4.1","-3.9"
"b. Inland fishing","%","4.1","29.9","16.4","-10.0"
"Growth Rate of Fisheries Contribution to GDP (at Constant Prices-","","","","",""
"4
2015)","%","1.5","-4.6","0.6","-4.4"
"a. Marine fishing","%","1.4","-15.4","8.1","4.8"
"b. Inland fishing","%","2.4","11.9","0.8","-9.2"
"5  Per capita fish production","Kg/year","19.7","17.9","18.4","18.7"
"a. Marine fishing","Kg/year","15.0","12.7","13.3","14.1"
"b. Inland fishing","Kg/year","4.7","2.5","5.1","4.7"
"7 Percapita fish consumption (All Sectors) (2)","g/day","38.4","32.5","34.3","36.9"
"8 Percapita fish consumption (All Sectors) (2)","Kg/year","14.01","11.9","12.5","13.5"
"9 Per capita Fish Consumption (Household Sector) (3)","Kg/year","na","na","na","na"
"a. Large fish (Marine)","Kg/year","na","na","na","na"
"b. Small fish (Marine)","Kg/year","na","na","na","na"
"c. Inland fish","Kg/year","na","na","na","na"
"d. Other fish","Kg/year","na","na","na","na"
"10
Per capita  Consumption of Perpared Fish (Household Sector) (3)","","","","",""
"a. Canned fish","Kg/year","na","na","na","na"
"b.  Dried fish","Kg/year","na","na","na","na"
"11
Fish Contribution to Animal Nutrition Intake (4)","","","","",""
"a. Calorie Intake","%","33.7","33.8(a)","33.6","na"
"b. Protein Intake","%","50.0","47.05(a)","50.0","na"
"c. Fat Intake","%","18.8","18.18(a)","23.1","na"
"12
Household Expenditure Contribution to Food Basket  (3)","","","","",""
"a. Fish","%","na","na","na","na"
"-  Marine","%","na","na","na","na"
"-  Inland","%","na","na","na","na"
"c. Canned fish","%","na","na","na","na"
"b. Dried fish","%","na","na","na","na"
"-  Marine","%","na","na","na","na"
"-  Inland","%","na","na","na","na"
"13 Contribution to National Export Earnings","%","2.6","2.3","2.6(a)","2.4"
"14 Contribution of Tuna to Total Exports of F & FP in Volume (5)","%","37.1","36.2","34.9","22.9"
"15 Fishermen per Household (Marine fishing)","Number","1.2","1.2","1.2","1.2"
"16 Fishermen per Household (Inland fishing)","Number","1.1","1.1","1.1","1.1"
"","(1) National Accounts of Sri Lanka - Revised base year (2010) estimates (by production, income and expenditure approaches)","","","",""
