"","","","","","Trade","","Rate","Contribution to"
"Year","","","","","","","","National Exports"
"","Quantity","Value","Quantity","Value","","","",""
"","","","","","(Rs.Mn)","US $ Mn","Rs./1 US$","Earnings (%)"
"","(Mt)","(RS.Mn)","(Mt)","(RS.Mn)","","","",""
"2000","18,554","10,328","77,339","5,132","5,196","68.6","75.78","2.6"
"2005","15,985","10,695","76,584","7,099","3,596","35.8","100.50","1.7"
"2006","18,647","14,440","77,382","9,681","4,759","45.8","103.96","2.1"
"2007","21,422","19,123","86,156","11,961","7,162","64.7","110.62","2.3"
"2008","20,594","19,077","76,266","12,521","6,556","60.5","108.33","2.2"
"2009","18,714","21,015","75,411","13,939","7,076","61.6","114.94","2.6"
"2010","18,325","19,834","80,013","14,162","5,672","50.2","113.06","2.1"
"2015","17,461","24,716","120,046","30,729","-6,013","-44.2","135.94","1.8"
"2016","17,593","26,802","115,693","35,172","-8,370","-57.5","145.60","1.8"
"2017","24,827","39,230","106,020","33,969","5,261","34.5","152.46","2.3"
"2018","27,998","47,949","84,463","32,726","15,222","93.7","162.54","2.5"
"2019","28,771","53,483","95,637","38,952","14,531","81.3","178.78","1.5"
"2020","21,298","39,874","85,809","35,504","4,370","23.6","185.52","2.2"
"2021","26,749","63,222","56,176","25,080","38,142","191.9","198.88","2.6"
"2022","25,730","97,243","41,737","21,664","75,579","231.8","324.55","2.3"
"2023","24,503","99,118","48,808","26,734","72,384","220.5","327.53","2.6(a)"
"2024","22,556","86,241","58,351","36,672","58,351","36,671.7","302.12","2.4"
"Source :  Statistics Unit/ Ministry of Fisheries","","","","","","","",""
