"Source: Statistics Unit, Ministry of Fisheries","","","","","",""
"Table 7.10  Retail Prices of Imported  Dried Fish at Colombo and Suburbs Markets (Rs/Kg) -2024","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa"
"January","1,356.67","2,679.17","","2,562.50","","2,825.00"
"February","1,241.67","2,687.50","","2,537.50","","2,643.75"
"March","1,208.33","2,820.83","","2,487.50","","2,268.75"
"April","1,241.67","2,908.33","","2,425.00","","2,450.00"
"May","1,195.83","2,908.33","","2,550.00","","2,625.00"
"June","1,254.17","2,870.83","","2,562.50","","2,225.00"
"July","1,287.50","2,854.17","","2,550.00","","2,925.00"
"August","1,287.50","2,891.67","","2,487.50","","2,950.00"
"September","1,329.17","2,887.50","","2,450.00","","2,862.50"
"October","1,320.83","2,833.33","","2,481.25","","2,862.50"
"November","1,225.00","2,783.33","","2,550.00","","2,950.00"
"December","1,241.67","2,825.00","","2,500.00","","2,925.00"
"Average","1,265.83","2,829.17","","2,511.98","","2,709.38"
