"Table 7.7","Wholesale prices  of Local Driedfish  at Pettah","","","","(Rs/Kg)  - 2024","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","","","2350.00","1705.00","975.42","","","2387.50","640.00"
"February","","1651.67","2226.67","1795.00","937.50","","","2300.00","682.50"
"March","1343.75","1575.00","3025.00","1690.83","843.13","","","","451.25"
"April","1300.00","1668.33","3025.00","1775.00","846.88","","","980.00","476.25"
"May","1287.50","1793.33","2825.00","1758.33","1043.75","1616.67","","950.00","843.75"
"June","1562.50","1850.00","2962.50","1901.67","1179.17","","","1500.00","847.50"
"July","1525.00","1837.50","3100.00","1870.83","1039.38","","","1700.00","493.33"
"August","1620.00","1760.00","3337.50","1801.67","1018.25","","","","557.50"
"September","1562.50","1687.50","3290.00","1781.25","1135.63","","","2400.00","592.50"
"October","1431.25","1687.50","3083.75","1802.92","1176.88","","","1916.67","520.00"
"November","1112.50","1700.00","2750.00","1925.00","1060.63","","","1850.00","581.67"
"December","1200.00","1512.50","","1902.50","981.46","","","","780.00"
"Average","1394.50","1702.12","2906.86","1809.17","1019.84","1616.67","","1776.02","622.19"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"","Table 7.8  Wholesale Prices of Imported Dried Fish at Pettah (Rs/Kg)  - 2024","","","","","","","",""
"Month","Sprats","Kattawa","Thora","Mora","Balaya","Angulawa","Maduwa","koduwa","Salaya"
"January","1101.25","1313.75","","1767.50","","1660.83","","",""
"February","1016.88","1350.63","","1733.33","","1683.33","","",""
"March","879.38","1298.75","","1695.00","","1440.83","","",""
"April","869.38","1317.50","","1725.00","","1426.88","","",""
"May","850.63","1288.75","","1828.13","","1423.96","","",""
"June","855.00","1377.50","","1895.00","","1385.00","","",""
"July","944.38","1383.13","","1821.88","","1437.50","","",""
"August","955.00","1368.75","","1731.25","","1487.50","","",""
"September","935.00","1300.63","","1666.88","","1545.63","","",""
"October","990.63","1255.00","","1695.83","","1558.13","","",""
"November","934.38","1201.88","","1759.17","","1563.13","","",""
"December","890.00","1203.75","","1742.50","","1660.00","","",""
"Average","935.16","1,305.00","","1,755.12","","1,522.73","","",""
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","",""
"na - Not available","","","","","","","","",""
"","","","","53","","","","",""
