"Source of Production","2010","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Freshwater prawns (Macrobrachium","","","","","","","","","","",""
"rosenbergii)","","","","","","","","","","",""
"Aquaculture Centres","","","","","","","","","","",""
"Pambala","1.77","1.78","2.40","2.73","6.46","9.51","13.50","11.55","4.67","14.85","11.08"
"Kahandamodara","11.27","19.94","24.84","38.63","44.65","37.09","30.20","22.97","18.98","13.05","10.81"
"Kallar","","","","","","3.36","16.00","17.83","12.35","9.07","5.36"
"Sub-total","13.04","21.72","27.24","41.36","51.11","49.96","59.70","52.35","36","36.97","27.25"
"Other","","","","","","","","","","",""
"Private hatcheries","","2.00","12.60","19.04","22.65","15.95","18.00","","11.65","9.12","10.69"
"Total","13.04","23.72","39.84","60.40","73.76","65.91","77.70","52.35","47.65","46.1","37.94"
"Shrimps (Penaeus monodon)","","","","","","","","","","",""
"Puttalam (Private)","296.00","463.00","532.91","461.31","484.70","428.00","398.00","177.50","85.97","87.75","73.195"
"Pudukudirippu, Batticaloa","","","","","","","","","","",""
"","-","20.98","21.37","17.13","35.20","***","***","14.77","","",""
"(Public Private Partnership)","","","","","","","","","0.5","1","*"
"Total","296.00","483.98","554.28","478.44","519.90","428.00","398.00","192.27","86.47","88.75","73.195"
"Shrimps (Litopenaeus vannamei)","","","","","","","","","","",""
"Puttalam","","","","","","40.70","277.67","544.19","651.24","669.33","352.87"
"Batticaloa","","","","","","1.40","11.37","**","**","**","*"
"Total","","","","","","42.10","289.04","544.19","651.24","669.33","352.87"
"***Note: PL of shrimp (penaeus monodon) Hatchery is transferred to shrimps (Litopenaeus vannamei) hatchery","","","","","","","","","","",""
