"","Table 1.2:  Information of Perennial Tanks by Districts 2023-2024","","","","","","","","","","","","","",""
"","","","","","","","2023","","","","","","2024","",""
"","District","","","","Tanks","","","","Landing","","Tanks","","","","Landing"
"","","","","","","","","Area (Ha)","","","","","","Area (Ha)",""
"","","Major Medium Minor","","","","","Total","","Sites","Major Medium Minor","","","Total","","Sites*"
"1","Colombo","-","","-","","14","14","155","15","-","-","15","15","160","7"
"2","Gampaha","-","","-","","111","111","148","111","-","-","112","112","150","30"
"3","Kalutara","","1","-","","18","19","1,309","25","1","-","18","19","1,310","7"
"4","Kandy","","1","-","","56","57","2,718","65","1","-","55","56","2,710","45"
"5","Matale","","2","","5","43","50","7,592","59","2","5","43","50","7,590","55"
"6","Nuwara Eliya","","1","","3","39","43","4,293","49","1","3","39","43","4,290","45"
"7","Galle","-","","-","","6","6","22","6","-","-","6","6","20","4"
"8","Matara","-","","-","","35","35","968","35","-","-","36","36","970","36"
"9","Hambantota","","2","","6","65","73","8,673","82","2","6","65","73","8,670","82"
"10","Jaffna","-","","-","","-","-","-","","-","-","-","-","-","-"
"11","Mannar","","1","","3","6","10","3,797","12","1","3","6","10","3,800","12"
"12","Vavunia","","1","","4","16","21","4,333","22","1","4","16","21","4,330","15"
"13","Mulathivu","","2","","5","26","33","7,366","35","2","5","26","33","7,370","35"
"14","Killinochchi","","2","","2","4","8","4,762","11","2","2","5","9","4,770","11"
"15","Batticaloa","","2","","5","14","21","4,826","21","2","5","14","21","4,830","24"
"16","Ampara","","7","","13","75","95","23,919","104","6","13","75","94","23,920","102"
"17","Trincomalee","","1","","4","51","56","8,090","58","1","4","51","56","8,090","52"
"18","Kurunegala","","2","","9","35","46","8,849","68","2","9","32","43","8,830","55"
"19","Puttalam","-","","","5","30","35","2,765","44","-","5","30","35","2,770","40"
"20","Anuradhapura","","11","","12","123","146","30,746","197","11","11","123","145","30,750","175"
"21","Polonnaruwa","","5","","3","90","98","18,951","110","5","3","90","98","18,950","105"
"22","Badulla","","1","","6","29","36","5,421","43","1","6","29","36","5,420","43"
"23","Monaragala","","2","","6","78","86","8,089","87","2","6","78","86","8,090","90"
"24","Ratnapura","","1","","2","17","20","4,655","22","1","2","17","20","4,660","20"
"25","Kegalle","-","","-","","20","20","14","20","-","-","21","21","15","5"
"Total","","","45","","93","1,001","1,139","162,461","1,301","44","92","1,002","1,138","162,465","1,095"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","","",""
